split,scope,speed_bin_mps,snr_db,n,mean_true_speed_mps,position_rmse_m,velocity_rmse_mps,velocity_error_median_mps,velocity_error_p95_mps,n_ge2bs,position_rmse_m_ge2bs,velocity_rmse_mps_ge2bs,velocity_error_over_speed_median,velocity_error_over_speed_p95,direction_angle_median_deg,direction_flip_fraction
train,scene_0,"[2,5)",0.0,2129,3.6142728702056384,0.0932458567977206,0.20988377477848674,0.1666065503187914,0.3780904663073492,2129,0.0932458567977206,0.20988377477848674,0.046571416298708056,0.1163784825552004,0.6731050854999958,0.0
train,scene_0,"[2,5)",5.0,2129,3.6142728702056384,0.05246892930035731,0.11805122123052546,0.09368155848102247,0.2127344424808598,2129,0.05246892930035731,0.11805122123052546,0.026224981943855672,0.06545528065685208,0.37897113997080917,0.0
train,scene_0,"[2,5)",10.0,2129,3.6142728702056384,0.029562268514645596,0.06643153858350388,0.05270345748600824,0.11973640186671926,2129,0.029562268514645596,0.06643153858350388,0.01475536918479778,0.036836433455175725,0.213145744085497,0.0
train,scene_0,"[5,10)",-10.0,5012,7.563663207877846,0.3349974109995665,0.6832544529151934,0.5391478226644724,1.2230571823309844,4965,0.31258225767992115,0.6821782673456281,0.07239238705096351,0.171915791139697,1.122541483531026,0.0
train,scene_0,"[5,10)",-5.0,5012,7.563663207877846,0.18839475058281943,0.38697695272906335,0.3043027172706753,0.6907897947585315,4965,0.17578893220630526,0.38364391835183126,0.04091302648328968,0.09719602016262542,0.6299401645131731,0.0
train,scene_0,"[5,10)",0.0,5012,7.563663207877846,0.1059649339585668,0.2223987717380151,0.17123885916629006,0.3971439877161995,4965,0.09887264808940541,0.21576172562401388,0.02300709077093621,0.0557040523224298,0.35411010755512706,0.0
train,scene_0,"[5,10)",5.0,5012,7.563663207877846,0.059630896145522375,0.13318992024534085,0.09630528696592591,0.22483356903149326,4965,0.055635807607902724,0.12136126433874064,0.012941084326247559,0.03181461196379526,0.19919808468093073,0.0
train,scene_0,"[5,10)",10.0,5012,7.563663207877846,0.03360723626806002,0.0877798569647247,0.05418531246012905,0.1265318334624129,4965,0.031348243145247354,0.06829551427116484,0.007280894952726276,0.01790999266704956,0.11249859447180477,0.0
train,scene_0,"[10,20)",-10.0,12162,15.95478503180566,0.6000007533567399,1.0434064565858585,0.6753590005610668,2.216158493783909,10913,0.4141746786497782,0.8285634762222936,0.042789024095218745,0.14025909978888954,0.7577992428321638,0.0
train,scene_0,"[10,20)",-5.0,12162,15.95478503180566,0.33742537029838077,0.8040427377976017,0.38051192410159784,1.7012706327875737,10913,0.23289142804244853,0.4658956095868426,0.0240486508132818,0.10780737854438115,0.4254693322454894,0.0
train,scene_0,"[10,20)",0.0,12162,15.95478503180566,0.18980453992394264,0.7118962005347188,0.21391269594150222,1.6576919735985027,10913,0.1309854600767655,0.26199624581699826,0.01352229691080133,0.10134033657555795,0.23928453039172476,0.0
train,scene_0,"[10,20)",5.0,12162,15.95478503180566,0.10683568050651926,0.6802158731501609,0.12031081831327403,1.6374711379046054,10913,0.0737013147390499,0.14736022741529486,0.007605067797087167,0.09980249275503333,0.13463678520614863,0.0
train,scene_0,"[10,20)",10.0,12162,15.95478503180566,0.0602562757819258,0.6699138221769074,0.06773127035347545,1.6339692697674817,10913,0.04152146816956569,0.08292477263353526,0.00427881571709879,0.09944821289279386,0.07585159490929658,0.0
train,scene_0,"[20,inf)",-10.0,1330,21.903743455530705,0.666547415960023,1.4856412543036175,0.6886942942806431,3.5676253507626194,1154,0.3996977444039321,0.8153827612155117,0.03176145827546048,0.1593020164077502,0.5401028847312416,0.0
train,scene_0,"[20,inf)",-5.0,1330,21.903743455530705,0.37479428679989585,1.3387993714314061,0.3858992365809242,3.5122446414757733,1154,0.224604308517898,0.4585116138608354,0.017784290907362374,0.1574215064541749,0.3041579404905826,0.0
train,scene_0,"[20,inf)",0.0,1330,21.903743455530705,0.21082257568336182,1.2900819378067765,0.21703605463196468,3.5295030912453194,1154,0.12630219539807758,0.2578510268339524,0.009990359094104883,0.15684454403474135,0.17090412543065064,0.0
train,scene_0,"[20,inf)",5.0,1330,21.903743455530705,0.1186735095605436,1.2749651579453172,0.12208488037251333,3.5362506356611956,1154,0.07106167945244066,0.145031007986837,0.005613745091184534,0.15696620828749194,0.09619346826401319,0.0
train,scene_0,"[20,inf)",10.0,1330,21.903743455530705,0.06694736159311865,1.2705270710614396,0.06871414005097004,3.524033746485856,1154,0.04003265319369538,0.08161525259970791,0.0031578803475924592,0.15704567122789,0.05409756497157572,0.0
train,scene_1,"[0,0.5)",-10.0,1908,0.0968983381048583,0.3229059556624652,0.6602430837555899,0.5143054051010687,1.186252090654224,1908,0.3229059556624652,0.6602430837555899,,,,
