selection,seed,validation_split,origin,snr_db,gnn_epoch,relation_D_epoch,ade_targets,fde_targets,gnn_ADE,relation_D_ADE,delta_ADE_relation_minus_gnn,gnn_FDE,relation_D_FDE,delta_FDE_relation_minus_gnn,gnn_scene_J,relation_D_scene_J,delta_scene_J_relation_minus_gnn,gnn_source,relation_D_source
best_J,2026,V_select,4,15,97,85,8,8,1.2723653316497803,1.20210862159729,-0.07025671005249023,2.264124870300293,2.3529739379882812,0.08884906768798828,2.4044277667999268,2.3785955905914307,-0.025832176208496094,project/results/qgat_extend100/seed2026/gnn/validation_epoch_97.json,project/results/qgat_extend100/seed2026/relation_D/validation_epoch_85.json
best_J,2026,V_select,4,20,97,85,8,8,1.2724814414978027,1.2013112306594849,-0.07117021083831787,2.264272689819336,2.3508875370025635,0.08661484718322754,2.4046177864074707,2.3767549991607666,-0.0278627872467041,project/results/qgat_extend100/seed2026/gnn/validation_epoch_97.json,project/results/qgat_extend100/seed2026/relation_D/validation_epoch_85.json
best_J,2026,V_select,5,5,97,85,8,8,1.1460754871368408,0.8301343321800232,-0.3159411549568176,2.230315685272217,1.5307295322418213,-0.6995861530303955,2.261233329772949,1.5954990983009338,-0.6657342314720154,project/results/qgat_extend100/seed2026/gnn/validation_epoch_97.json,project/results/qgat_extend100/seed2026/relation_D/validation_epoch_85.json
best_J,2026,V_select,5,10,97,85,8,8,1.1444295644760132,0.8305869698524475,-0.3138425946235657,2.227534055709839,1.5321485996246338,-0.6953854560852051,2.2581965923309326,1.5966612696647644,-0.6615353226661682,project/results/qgat_extend100/seed2026/gnn/validation_epoch_97.json,project/results/qgat_extend100/seed2026/relation_D/validation_epoch_85.json
best_J,2026,V_select,5,15,97,85,8,8,1.1441279649734497,0.8302919864654541,-0.3138359785079956,2.2275123596191406,1.5318613052368164,-0.6956510543823242,2.25788414478302,1.5962226390838623,-0.6616615056991577,project/results/qgat_extend100/seed2026/gnn/validation_epoch_97.json,project/results/qgat_extend100/seed2026/relation_D/validation_epoch_85.json
best_J,2026,V_select,5,20,97,85,8,8,1.1441646814346313,0.8302872180938721,-0.3138774633407593,2.2275991439819336,1.5318412780761719,-0.6957578659057617,2.257964253425598,1.596207857131958,-0.6617563962936401,project/results/qgat_extend100/seed2026/gnn/validation_epoch_97.json,project/results/qgat_extend100/seed2026/relation_D/validation_epoch_85.json
best_J,2026,V_select,6,5,97,85,8,8,0.9873961210250854,0.8084708452224731,-0.1789252758026123,2.0835089683532715,1.5331192016601562,-0.5503897666931152,2.029150605201721,1.5750304460525513,-0.4541201591491699,project/results/qgat_extend100/seed2026/gnn/validation_epoch_97.json,project/results/qgat_extend100/seed2026/relation_D/validation_epoch_85.json
best_J,2026,V_select,6,10,97,85,8,8,0.9864841103553772,0.8076221346855164,-0.17886197566986084,2.0811822414398193,1.5322637557983398,-0.5489184856414795,2.027075231075287,1.5737540125846863,-0.4533212184906006,project/results/qgat_extend100/seed2026/gnn/validation_epoch_97.json,project/results/qgat_extend100/seed2026/relation_D/validation_epoch_85.json
best_J,2026,V_select,6,15,97,85,8,8,0.9897691011428833,0.8114849328994751,-0.1782841682434082,2.088013172149658,1.5385305881500244,-0.5494825839996338,2.0337756872177124,1.5807502269744873,-0.4530254602432251,project/results/qgat_extend100/seed2026/gnn/validation_epoch_97.json,project/results/qgat_extend100/seed2026/relation_D/validation_epoch_85.json
best_J,2026,V_select,6,20,97,85,8,8,0.9912520051002502,0.8143893480300903,-0.1768626570701599,2.094130277633667,1.5443809032440186,-0.5497493743896484,2.0383171439170837,1.5865797996520996,-0.45173734426498413,project/results/qgat_extend100/seed2026/gnn/validation_epoch_97.json,project/results/qgat_extend100/seed2026/relation_D/validation_epoch_85.json
best_J,2026,V_select,7,5,97,85,8,8,1.0425876379013062,1.0457878112792969,0.0032001733779907227,2.173755407333374,2.060481071472168,-0.11327433586120605,2.129465341567993,2.076028347015381,-0.053436994552612305,project/results/qgat_extend100/seed2026/gnn/validation_epoch_97.json,project/results/qgat_extend100/seed2026/relation_D/validation_epoch_85.json
best_J,2026,V_select,7,10,97,85,8,8,1.042688250541687,1.0424509048461914,-0.00023734569549560547,2.1749536991119385,2.051179885864258,-0.12377381324768066,2.1301651000976562,2.0680408477783203,-0.06212425231933594,project/results/qgat_extend100/seed2026/gnn/validation_epoch_97.json,project/results/qgat_extend100/seed2026/relation_D/validation_epoch_85.json
best_J,2026,V_select,7,15,97,85,8,8,1.042047381401062,1.0425074100494385,0.00046002864837646484,2.1709516048431396,2.0506174564361572,-0.12033414840698242,2.127523183822632,2.067816138267517,-0.059707045555114746,project/results/qgat_extend100/seed2026/gnn/validation_epoch_97.json,project/results/qgat_extend100/seed2026/relation_D/validation_epoch_85.json
