selection,seed,validation_split,origin,snr_db,gnn_epoch,relation_D_epoch,ade_targets,fde_targets,gnn_ADE,relation_D_ADE,delta_ADE_relation_minus_gnn,gnn_FDE,relation_D_FDE,delta_FDE_relation_minus_gnn,gnn_scene_J,relation_D_scene_J,delta_scene_J_relation_minus_gnn,gnn_source,relation_D_source
final,2026,V_select,7,20,100,100,8,8,1.046614408493042,1.0688904523849487,0.02227604389190674,2.2510595321655273,2.1343235969543457,-0.11673593521118164,2.1721441745758057,2.1360522508621216,-0.03609192371368408,project/results/qgat_extend100/seed2026/gnn/validation_epoch_100.json,project/results/qgat_extend100/seed2026/relation_D/validation_epoch_100.json
final,2026,V_select,8,5,100,100,8,8,0.9221016764640808,1.347179651260376,0.42507797479629517,1.8018121719360352,2.3278589248657227,0.5260467529296875,1.8230077624320984,2.5111091136932373,0.6881013512611389,project/results/qgat_extend100/seed2026/gnn/validation_epoch_100.json,project/results/qgat_extend100/seed2026/relation_D/validation_epoch_100.json
final,2026,V_select,8,10,100,100,8,8,0.9188344478607178,1.3392632007598877,0.4204287528991699,1.797672152519226,2.3153133392333984,0.5176411867141724,1.8176705241203308,2.496919870376587,0.6792493462562561,project/results/qgat_extend100/seed2026/gnn/validation_epoch_100.json,project/results/qgat_extend100/seed2026/relation_D/validation_epoch_100.json
final,2026,V_select,8,15,100,100,8,8,0.9184087514877319,1.3395395278930664,0.4211307764053345,1.7963275909423828,2.315838575363159,0.5195109844207764,1.8165725469589233,2.497458815574646,0.6808862686157227,project/results/qgat_extend100/seed2026/gnn/validation_epoch_100.json,project/results/qgat_extend100/seed2026/relation_D/validation_epoch_100.json
final,2026,V_select,8,20,100,100,8,8,0.9184801578521729,1.3395181894302368,0.42103803157806396,1.7963826656341553,2.3157286643981934,0.5193459987640381,1.8166714906692505,2.4973825216293335,0.680711030960083,project/results/qgat_extend100/seed2026/gnn/validation_epoch_100.json,project/results/qgat_extend100/seed2026/relation_D/validation_epoch_100.json
final,2026,V_select,9,5,100,100,8,8,0.8637257814407349,0.8507925271987915,-0.01293325424194336,1.8158328533172607,1.501938819885254,-0.31389403343200684,1.7716422080993652,1.6017619371414185,-0.16988027095794678,project/results/qgat_extend100/seed2026/gnn/validation_epoch_100.json,project/results/qgat_extend100/seed2026/relation_D/validation_epoch_100.json
final,2026,V_select,9,10,100,100,8,8,0.8628847002983093,0.8511850833892822,-0.0116996169090271,1.814476490020752,1.501481533050537,-0.31299495697021484,1.7701229453086853,1.6019258499145508,-0.16819709539413452,project/results/qgat_extend100/seed2026/gnn/validation_epoch_100.json,project/results/qgat_extend100/seed2026/relation_D/validation_epoch_100.json
final,2026,V_select,9,15,100,100,8,8,0.8639819622039795,0.8527255654335022,-0.011256396770477295,1.8161582946777344,1.5026779174804688,-0.3134803771972656,1.7720611095428467,1.6040645241737366,-0.1679965853691101,project/results/qgat_extend100/seed2026/gnn/validation_epoch_100.json,project/results/qgat_extend100/seed2026/relation_D/validation_epoch_100.json
final,2026,V_select,9,20,100,100,8,8,0.8631038665771484,0.851491391658783,-0.011612474918365479,1.8160066604614258,1.5012319087982178,-0.314774751663208,1.7711071968078613,1.6021073460578918,-0.16899985074996948,project/results/qgat_extend100/seed2026/gnn/validation_epoch_100.json,project/results/qgat_extend100/seed2026/relation_D/validation_epoch_100.json
final,2026,V_select,10,5,100,100,8,8,1.0794222354888916,1.1645456552505493,0.08512341976165771,1.9088554382324219,2.053305149078369,0.14444971084594727,2.0338499546051025,2.191198229789734,0.15734827518463135,project/results/qgat_extend100/seed2026/gnn/validation_epoch_100.json,project/results/qgat_extend100/seed2026/relation_D/validation_epoch_100.json
