scene_type,scene,snr_ref_db,target,bs,range_bin,received_snr_db,peak_to_noise_db,g_emp_db,peak_power,noise_floor,cfar_score
synthetic,count1_r280_norm_b40,5.0,0,0,225-300,-12.88632125368877,24.463020041600217,37.34934129528899,819.5475383376039,2.932730433669854,20.26338409677673
synthetic,count1_r280_norm_b40,5.0,0,2,150-225,-8.472204403989679,23.751644030942277,32.22384843493195,2140.3934229337747,9.022548072925474,17.20181907688394
synthetic,count1_r280_norm_b40,10.0,0,0,225-300,-7.88632125368877,25.018913290534698,32.90523454422347,2585.7289813161115,8.141260926511828,23.03039048325332
synthetic,count1_r280_norm_b40,10.0,0,2,150-225,-3.4722044039896787,23.892969843207407,27.365174247197086,6739.1057138075375,27.498264479900577,17.77079908515051
synthetic,count1_r280_norm_b40,15.0,0,0,225-300,-2.88632125368877,25.207022699435658,28.09334395312443,8167.131853724746,24.624492981802884,24.04984282493246
synthetic,count1_r280_norm_b40,15.0,0,2,150-225,1.5277955960103213,23.92966422251896,22.401868626508637,21259.421443382507,86.0171440862145,17.921584106656123
synthetic,count1_r280_norm_b40,20.0,0,0,225-300,2.11367874631123,25.265968987897285,23.152290241586055,25810.403144967197,76.77112225604712,24.378493890139158
synthetic,count1_r280_norm_b40,20.0,0,2,150-225,6.527795596010321,23.93616581882105,17.408370222810728,67137.41034458543,271.2364199844039,17.948433668541597
synthetic,count1_r280_norm_b65,-10.0,0,0,225-300,-27.88632125368877,16.19980244324086,44.08612369692963,26.00416376135744,0.6238248172227637,3.022666388837012
synthetic,count1_r280_norm_b65,-10.0,0,1,150-225,-18.027737345929605,23.19324585320224,41.220983199131844,254.0557712907896,1.21787994725067,15.12636437574277
synthetic,count1_r280_norm_b65,-10.0,0,2,75-150,-13.871529381717135,24.102088372642804,37.973617754359935,640.7398877215031,2.491569027346764,18.6474224522263
synthetic,count1_r280_norm_b65,-5.0,0,0,225-300,-22.88632125368877,20.127658648220375,43.013979901909146,81.08659597172158,0.7873778697438765,7.467510420564709
synthetic,count1_r280_norm_b65,-5.0,0,1,150-225,-13.027737345929605,24.728145341462774,37.75588268739238,803.154502457038,2.7038622610473593,21.53894893551305
synthetic,count1_r280_norm_b65,-5.0,0,2,75-150,-8.871529381717135,24.73647302582822,33.60800240754536,2028.710522720149,6.816677993581076,21.580289928350144
synthetic,count1_r280_norm_b65,0.0,0,0,225-300,-17.88632125368877,22.862129651016595,40.748450904705365,255.21925335100372,1.320384655642253,14.015962846366724
synthetic,count1_r280_norm_b65,0.0,0,1,150-225,-8.027737345929605,25.369394760656512,33.39713210658611,2539.9372405655186,7.377063294558941,24.966027730358224
synthetic,count1_r280_norm_b65,0.0,0,2,75-150,-3.871529381717135,24.946731970587493,28.818261352304628,6420.942915243746,20.555384826986838,22.650780397596957
synthetic,count1_r280_norm_b65,5.0,0,0,225-300,-12.88632125368877,24.241998270654438,37.12831952434321,805.7803056813641,3.034008697244695,19.257938681813048
synthetic,count1_r280_norm_b65,5.0,0,1,150-225,-3.027737345929605,25.602982379563443,28.630719725493048,8032.802395297696,22.108987065675745,26.345607080420333
synthetic,count1_r280_norm_b65,5.0,0,2,75-150,1.128470618282865,25.00907434487221,23.880603726589346,20315.885254015448,64.11037493162682,22.978274168544978
synthetic,count1_r280_norm_b65,10.0,0,0,225-300,-7.88632125368877,24.763977803717783,32.650299057406556,2546.6387122570745,8.502948648485017,21.71739612092706
synthetic,count1_r280_norm_b65,10.0,0,1,150-225,1.972262654070395,25.684916443134536,23.71265378906414,25403.969106048626,68.61355659016469,26.847361882370034
synthetic,count1_r280_norm_b65,10.0,0,2,75-150,6.128470618282865,25.02543793083386,18.896967312550995,64265.30302439984,202.0378631649243,23.065016284935055
synthetic,count1_r280_norm_b65,15.0,0,0,225-300,-2.88632125368877,24.928049675739526,27.814370929428296,8051.416703438037,25.886142446797546,22.553551513736306
synthetic,count1_r280_norm_b65,15.0,0,1,150-225,6.972262654070395,25.714196512512125,18.74193385844173,80338.558914559,215.52834099079416,27.028977935309534
synthetic,count1_r280_norm_b65,15.0,0,2,75-150,11.128470618282865,25.02864051385413,13.900169895571263,203262.90683908312,638.5487817909112,23.082031208011166
synthetic,count1_r280_norm_b65,20.0,0,0,225-300,2.11367874631123,24.97269361527765,22.85901486896642,25458.52029446324,81.01469407416273,22.786589784618872
synthetic,count1_r280_norm_b65,20.0,0,1,150-225,11.972262654070395,25.725214656910627,13.752952002840232,254060.78590967137,679.854805241229,27.09763809289523
synthetic,count1_r280_norm_b65,20.0,0,2,75-150,16.128470618282865,25.02853886126784,8.900068242984975,642842.7628041677,2019.5326218983328,23.081490947702246
synthetic,count3_r40_norm_b0,-10.0,0,0,10-75,4.315898645964118,11.142509997168057,6.826611351203939,57640.105776170014,4430.714529738956,0.9433241918652685
synthetic,count3_r40_norm_b0,-10.0,0,1,150-225,-20.853253005273473,21.897906318038206,42.75115932331168,133.69488246965807,0.863622904641943,11.225368438355725
synthetic,count3_r40_norm_b0,-10.0,1,0,10-75,5.917600346881503,10.386198977030585,4.468598630149081,57931.40927584297,5300.223652721126,0.7925558395398693
synthetic,count3_r40_norm_b0,-10.0,1,1,150-225,-19.746806037788392,21.767910809977163,41.514716847765555,162.27157805663413,1.080068695133731,10.89434322351862
synthetic,count3_r40_norm_b0,-10.0,2,1,150-225,-18.688066930222973,22.07002133466768,40.75808826489065,209.62433267366782,1.3014861762302796,11.67917338732946
synthetic,count3_r40_norm_b0,-5.0,0,0,10-75,9.315898645964118,11.140606471560716,1.8247078255965974,182259.29944159277,14016.160095909174,0.9429108206690003
synthetic,count3_r40_norm_b0,-5.0,0,1,150-225,-15.853253005273473,24.307593358780753,40.16084636405422,423.5095440863919,1.570738417806145,19.55101497542408
