candidate,split,scope,subset,snr_db,a_range,a_bearing,a_radial_velocity,position_mae,position_rmse,position_median,position_p95,velocity_mae,velocity_rmse,velocity_median,velocity_p95,vx_mae,vx_rmse,vx_median,vx_p95,vy_mae,vy_rmse,vy_median,vy_p95,quality_mean,quality_median,quality_p05,quality_min,n
A_light,train,scene_1,all,5.0,0.05,0.002,0.08,0.03875846799008854,0.047054564969667624,0.03179744994997992,0.0951374470225989,0.07860636932610918,0.09721082571487541,0.0655642820264647,0.21456268876634793,0.06370229413023384,0.08653946319197146,0.04546218410056291,0.1968871519712337,0.03428133288043308,0.044281666032493644,0.028081307651007137,0.08494115798817015,91.3737698613111,92.67251759167556,80.28301016963718,75.35728738979346,155
A_light,train,scene_1,all,10.0,0.05,0.002,0.08,0.021945987988174313,0.026662604318595483,0.018045194150406015,0.05419942436721875,0.0443326167848507,0.05482228191990831,0.03704169509621586,0.12096288854250486,0.03593060881701919,0.04880460099920854,0.025709324380937204,0.11100995384154604,0.019330603011076555,0.024971854480874228,0.015842757802232654,0.04788923678153391,94.99827674218628,95.79826608951059,88.35352459950339,85.24823192284883,155
A_light,train,scene_1,ge2,-10.0,0.05,0.002,0.08,0.21728085924761326,0.2636604481673373,0.17830396908727267,0.5322335043544082,0.4413903767253176,0.5458914895822164,0.3677094854120406,1.2080203210615152,0.35764129013372475,0.48593329948503977,0.25561883912753736,1.1072064968985444,0.1925715219373709,0.24872946518230152,0.15717432917013596,0.4790238466271522,62.43302014218913,65.23400097953763,29.067122231440283,20.422357331745275,155
A_light,train,scene_1,ge2,-5.0,0.05,0.002,0.08,0.1222094641883003,0.14831174392421448,0.10032210142798637,0.2992940813917425,0.2482555729540053,0.3070243228683107,0.20685550716601736,0.6785013846811874,0.2011658580215686,0.2733119665897433,0.1435543555699219,0.6222655327621132,0.10829002293470774,0.13987317023500867,0.088666965933351,0.26879908205676695,75.96357496388248,78.63939845241276,49.94685900050535,40.923523190168495,155
A_light,train,scene_1,ge2,0.0,0.05,0.002,0.08,0.06877124099582801,0.08346996576482407,0.0564651325616143,0.16848997629230975,0.13965169263212127,0.17270815200444217,0.11639667314483544,0.38137590910329283,0.11316749044478594,0.15374722090985402,0.08069057871134966,0.34988956188625586,0.0609101146589023,0.07867590375258525,0.049882453110285496,0.1510126525816872,85.37254623827724,87.35544753570618,67.68579680622412,60.49466476379525,155
A_light,train,scene_1,ge2,5.0,0.05,0.002,0.08,0.03875846799008854,0.047054564969667624,0.03179744994997992,0.0951374470225989,0.07860636932610918,0.09721082571487541,0.0655642820264647,0.21456268876634793,0.06370229413023384,0.08653946319197146,0.04546218410056291,0.1968871519712337,0.03428133288043308,0.044281666032493644,0.028081307651007137,0.08494115798817015,91.3737698613111,92.67251759167556,80.28301016963718,75.35728738979346,155
A_light,train,scene_1,ge2,10.0,0.05,0.002,0.08,0.021945987988174313,0.026662604318595483,0.018045194150406015,0.05419942436721875,0.0443326167848507,0.05482228191990831,0.03704169509621586,0.12096288854250486,0.03593060881701919,0.04880460099920854,0.025709324380937204,0.11100995384154604,0.019330603011076555,0.024971854480874228,0.015842757802232654,0.04788923678153391,94.99827674218628,95.79826608951059,88.35352459950339,85.24823192284883,155
A_light,train,scene_1,eq3,-10.0,0.05,0.002,0.08,0.13144484672335752,0.1498214576742234,0.12620402712631762,0.24643302200058825,0.3211064906743721,0.3798024602569733,0.28837143270947474,0.6252538501066477,0.2379040827768766,0.3138603311493534,0.17788822512770341,0.551477719793673,0.16454191704710616,0.21387286257977667,0.13329059780417518,0.4223383343841508,70.76206469845796,71.00846559290753,52.29981555860384,29.937600212735415,60
A_light,train,scene_1,eq3,-5.0,0.05,0.002,0.08,0.07389045507901311,0.08423839853432111,0.070954553069479,0.13893647138258994,0.1805734472620991,0.21347384890288232,0.16196544462627105,0.351067506505142,0.1337978393005334,0.17637602523647156,0.10018542100565714,0.3095107091066824,0.0925153338257985,0.12026047516617494,0.07522835359339153,0.23739101619402664,82.01848862914035,82.48685792626313,69.4650707877824,50.82469251360163,60
A_light,train,scene_1,eq3,0.0,0.05,0.002,0.08,0.04156851370932211,0.04739597765433594,0.03993461103575748,0.07827245519904183,0.10156861385586403,0.12004087943852902,0.09103880070839317,0.1972912405792365,0.07526327792203122,0.09916940340485926,0.05648518734758218,0.17395754419395637,0.05203266800250018,0.06764053640162641,0.04239994058563301,0.13349473095929695,89.33625710977125,89.73580312292313,81.47393512021597,68.3711104575801,60
A_light,train,scene_1,eq3,5.0,0.05,0.002,0.08,0.023425755350036884,0.026712103429333892,0.022536311487550146,0.04411269568983149,0.05716680605307993,0.06755370952820323,0.05122023960294653,0.11097833259674593,0.04236401170625395,0.05580528457428985,0.03183540902242026,0.09796791128411636,0.02928303589351462,0.03806932997313432,0.023890201037454872,0.07513018956245858,93.81021261750881,94.08535446338425,89.10985310801084,80.74680387450285,60
A_light,train,scene_1,eq3,10.0,0.05,0.002,0.08,0.013267655501312477,0.015130358221346474,0.012818490821185182,0.02492852190900866,0.03223911704558929,0.03809462314146844,0.028879433010447535,0.0625493977919855,0.023894119012001704,0.031469431360421685,0.017969311712792355,0.05544252981649194,0.016510759834578573,0.021468004149017006,0.013478844558362013,0.042375372036553303,96.44498392225668,96.61805725264253,93.70551644974309,88.64380869064564,60
