split,scene_id,frame,timestamp,vehicle_id,snr_db,n_bs,rank,condition_ratio,x_hat,y_hat,vx_hat,vy_hat,x_true,y_true,vx_true,vy_true,position_error,velocity_error,vx_error,vy_error,quality
train,0,146,14.614614614614615,6,-5.0,2,2,0.30719781535074553,30.004493595282042,-7.278478945773117,16.87912056209306,-13.874587369629763,30.232427,-7.416596,17.119331,-13.72171,0.26651446049817357,0.28473240880580925,-0.24021043790693852,-0.1528773696297634,67.70547024782834
train,0,146,14.614614614614615,6,0.0,2,2,0.3060280668392386,30.10418161199847,-7.338805193717843,16.984219237616113,-13.807761541840081,30.232427,-7.416596,17.119331,-13.72171,0.14999429684388438,0.1601875656458234,-0.135111762383886,-0.08605154184008157,80.2960226451692
train,0,146,14.614614614614615,6,5.0,2,2,0.3053723905570377,30.160263937052896,-7.372810186739118,17.04332770149205,-13.77013531924029,30.232427,-7.416596,17.119331,-13.72171,0.08440796820694543,0.09011943701340192,-0.07600329850794907,-0.04842531924029103,88.38432274094714
train,0,146,14.614614614614615,6,10.0,2,2,0.30500453594831534,30.19179055741256,-7.391956616963246,17.076558039262324,-13.74896851940491,30.232427,-7.416596,17.119331,-13.72171,0.047522833065741205,0.05072034158416699,-0.04277296073767545,-0.027258519404909975,93.28552832897017
train,0,147,14.714714714714715,6,-10.0,2,2,0.28535239763905607,31.904757557539256,-8.642754305748394,17.46312728472922,-13.357018008616691,31.943832,-8.788279,17.111899,-13.749706,0.15067929084861437,0.5268445373831712,0.3512282847292205,0.39268799138330834,57.81231078246596
train,0,147,14.714714714714715,6,-5.0,2,2,0.28503993072604494,31.921785205361623,-8.706482153330919,17.309588186491727,-13.52897204435861,31.943832,-8.788279,17.111899,-13.749706,0.08471590924278538,0.29631823033498134,0.19768918649172562,0.2207339556413892,73.47754555997403
train,0,147,14.714714714714715,6,0.0,2,2,0.28486365834969324,31.931408838577823,-8.742281746491999,17.223132502620395,-13.625597395305828,31.943832,-8.788279,17.111899,-13.749706,0.04764538036369009,0.1666608468247276,0.11123350262039366,0.12410860469417173,84.08537030565199
train,0,147,14.714714714714715,6,5.0,2,2,0.284764393577541,31.936834304054564,-8.76239266687215,17.17448536216719,-13.679903586263986,31.943832,-8.788279,17.111899,-13.749706,0.026815480442288122,0.09375195834059187,0.06258636216718827,0.06980241373601359,90.70918771395114
train,0,147,14.714714714714715,6,10.0,2,2,0.28470859316481417,31.939886800212662,-8.773679686880376,17.14713118549414,-13.710419353256249,31.943832,-8.788279,17.111899,-13.749706,0.015122980689229772,0.05277070690318261,0.03523218549413798,0.03928664674375071,94.65846114750369
train,0,148,14.814814814814815,6,-10.0,2,2,0.2680571843532971,33.55608364641044,-9.772375566293231,16.893514528313872,-14.36550162258595,33.65413,-10.163424,17.106623,-13.7808,0.40315253311460836,0.622327251660283,-0.21310847168612668,-0.5847016225859516,47.63984845912262
train,0,148,14.814814814814815,6,-5.0,2,2,0.26729780345027115,33.59728547062822,-9.9408395711986,16.986687583400585,-14.108882110578534,33.65413,-10.163424,17.106623,-13.7808,0.22972837975388305,0.34931701280719374,-0.11993541659941442,-0.328082110578535,65.83043516584553
train,0,148,14.814814814814815,6,0.0,2,2,0.2668552765986326,33.6216233397482,-10.037374057709949,17.03914498604634,-13.965073954567805,33.65413,-10.163424,17.106623,-13.7808,0.1301740024430813,0.19624008942921822,-0.06747801395365727,-0.18427395456780538,79.01837266884128
