model,samples,snr_ref_db,scene,range_class,count,bs,target_index,visible,matched,false_alarms_bs,r_gt_m,u_gt,r_hat_m,u_hat,vr_hat_mps,range_abs_m,u_abs,xy_abs_m,peak_to_noise_db,gt_rd_snr_db
B32,32,5.0,count8_r280_norm_b0,far,8,1,6,True,False,0,118.98421959718374,0.5207540893892862,,,,,,,,
B32,32,5.0,count8_r280_norm_b0,far,8,1,7,True,False,0,110.6914639947943,0.3970644786206616,,,,,,,,
B24,24,5.0,count8_r280_norm_b0,far,8,0,0,True,False,2,287.0,-0.21954551502632108,,,,,,,,
B24,24,5.0,count8_r280_norm_b0,far,8,0,1,True,False,2,283.59301824974466,-0.15870276356818452,,,,,,,,
B24,24,5.0,count8_r280_norm_b0,far,8,0,2,True,False,2,281.29877354869507,-0.09599852092307218,,,,,,,,
B24,24,5.0,count8_r280_norm_b0,far,8,0,3,True,False,2,280.14460551650825,-0.032131383697143634,,,,,,,,
B24,24,5.0,count8_r280_norm_b0,far,8,0,4,True,False,2,280.14460551650825,0.032131383697143634,,,,,,,,
B24,24,5.0,count8_r280_norm_b0,far,8,0,5,True,False,2,281.29877354869507,0.09599852092307173,,,,,,,,
B24,24,5.0,count8_r280_norm_b0,far,8,0,6,True,False,2,283.59301824974466,0.15870276356818452,,,,,,,,
B24,24,5.0,count8_r280_norm_b0,far,8,0,7,True,True,2,287.0,0.21954551502632108,286.9062067815175,0.21757195055850378,-8.936907009818954,0.0937932184825172,0.001973564467817296,0.5877967597399028,8.194766489201811,
B24,24,5.0,count8_r280_norm_b0,far,8,1,0,True,False,1,197.97249906032616,0.8585081370822285,,,,,,,,
B24,24,5.0,count8_r280_norm_b0,far,8,1,1,True,False,1,182.75794393774197,0.8315023995606414,,,,,,,,
B24,24,5.0,count8_r280_norm_b0,far,8,1,2,True,False,1,168.0946809405665,0.7969678969704395,,,,,,,,
B24,24,5.0,count8_r280_norm_b0,far,8,1,3,True,False,1,154.1401227736336,0.7523531999779376,,,,,,,,
B24,24,5.0,count8_r280_norm_b0,far,8,1,4,True,False,1,141.10468857139665,0.694295222076999,,,,,,,,
B24,24,5.0,count8_r280_norm_b0,far,8,1,5,True,False,1,129.26673518346024,0.6186172224170928,,,,,,,,
B24,24,5.0,count8_r280_norm_b0,far,8,1,6,True,False,1,118.98421959718374,0.5207540893892862,,,,,,,,
B24,24,5.0,count8_r280_norm_b0,far,8,1,7,True,False,1,110.6914639947943,0.3970644786206616,,,,,,,,
B16,16,5.0,count8_r280_norm_b0,far,8,0,0,True,False,3,287.0,-0.21954551502632108,,,,,,,,
B16,16,5.0,count8_r280_norm_b0,far,8,0,1,True,False,3,283.59301824974466,-0.15870276356818452,,,,,,,,
B16,16,5.0,count8_r280_norm_b0,far,8,0,2,True,False,3,281.29877354869507,-0.09599852092307218,,,,,,,,
B16,16,5.0,count8_r280_norm_b0,far,8,0,3,True,False,3,280.14460551650825,-0.032131383697143634,,,,,,,,
B16,16,5.0,count8_r280_norm_b0,far,8,0,4,True,False,3,280.14460551650825,0.032131383697143634,,,,,,,,
B16,16,5.0,count8_r280_norm_b0,far,8,0,5,True,False,3,281.29877354869507,0.09599852092307173,,,,,,,,
B16,16,5.0,count8_r280_norm_b0,far,8,0,6,True,False,3,283.59301824974466,0.15870276356818452,,,,,,,,
B16,16,5.0,count8_r280_norm_b0,far,8,0,7,True,True,3,287.0,0.21954551502632108,286.9094297822235,0.2174530764682733,-8.63949001627161,0.09057021777647378,0.0020924385580477767,0.6218422741601031,7.876138188085201,
B16,16,5.0,count8_r280_norm_b0,far,8,1,0,True,False,0,197.97249906032616,0.8585081370822285,,,,,,,,
B16,16,5.0,count8_r280_norm_b0,far,8,1,1,True,False,0,182.75794393774197,0.8315023995606414,,,,,,,,
B16,16,5.0,count8_r280_norm_b0,far,8,1,2,True,False,0,168.0946809405665,0.7969678969704395,,,,,,,,
B16,16,5.0,count8_r280_norm_b0,far,8,1,3,True,False,0,154.1401227736336,0.7523531999779376,,,,,,,,
B16,16,5.0,count8_r280_norm_b0,far,8,1,4,True,False,0,141.10468857139665,0.694295222076999,,,,,,,,
B16,16,5.0,count8_r280_norm_b0,far,8,1,5,True,False,0,129.26673518346024,0.6186172224170928,,,,,,,,
B16,16,5.0,count8_r280_norm_b0,far,8,1,6,True,False,0,118.98421959718374,0.5207540893892862,,,,,,,,
B16,16,5.0,count8_r280_norm_b0,far,8,1,7,True,False,0,110.6914639947943,0.3970644786206616,,,,,,,,
B12,12,5.0,count8_r280_norm_b0,far,8,0,0,True,True,2,287.0,-0.21954551502632108,286.91432589820556,-0.21971166526774333,-8.226158071097881,0.08567410179443868,0.0001661502414222471,0.09864054005489738,7.938606810751629,
B12,12,5.0,count8_r280_norm_b0,far,8,0,1,True,False,2,283.59301824974466,-0.15870276356818452,,,,,,,,
B12,12,5.0,count8_r280_norm_b0,far,8,0,2,True,False,2,281.29877354869507,-0.09599852092307218,,,,,,,,
B12,12,5.0,count8_r280_norm_b0,far,8,0,3,True,False,2,280.14460551650825,-0.032131383697143634,,,,,,,,
B12,12,5.0,count8_r280_norm_b0,far,8,0,4,True,False,2,280.14460551650825,0.032131383697143634,,,,,,,,
B12,12,5.0,count8_r280_norm_b0,far,8,0,5,True,False,2,281.29877354869507,0.09599852092307173,,,,,,,,
B12,12,5.0,count8_r280_norm_b0,far,8,0,6,True,False,2,283.59301824974466,0.15870276356818452,,,,,,,,
B12,12,5.0,count8_r280_norm_b0,far,8,0,7,True,False,2,287.0,0.21954551502632108,,,,,,,,
B12,12,5.0,count8_r280_norm_b0,far,8,1,0,True,False,0,197.97249906032616,0.8585081370822285,,,,,,,,
B12,12,5.0,count8_r280_norm_b0,far,8,1,1,True,False,0,182.75794393774197,0.8315023995606414,,,,,,,,
B12,12,5.0,count8_r280_norm_b0,far,8,1,2,True,False,0,168.0946809405665,0.7969678969704395,,,,,,,,
B12,12,5.0,count8_r280_norm_b0,far,8,1,3,True,False,0,154.1401227736336,0.7523531999779376,,,,,,,,
B12,12,5.0,count8_r280_norm_b0,far,8,1,4,True,False,0,141.10468857139665,0.694295222076999,,,,,,,,
B12,12,5.0,count8_r280_norm_b0,far,8,1,5,True,False,0,129.26673518346024,0.6186172224170928,,,,,,,,
B12,12,5.0,count8_r280_norm_b0,far,8,1,6,True,False,0,118.98421959718374,0.5207540893892862,,,,,,,,
B12,12,5.0,count8_r280_norm_b0,far,8,1,7,True,False,0,110.6914639947943,0.3970644786206616,,,,,,,,
B8,8,5.0,count8_r280_norm_b0,far,8,0,0,True,True,1,287.0,-0.21954551502632108,286.92261891237155,-0.21888542911947562,-7.166126905824395,0.07738108762845286,0.0006600859068454645,0.20897143189152953,8.040867665297714,
B8,8,5.0,count8_r280_norm_b0,far,8,0,1,True,False,1,283.59301824974466,-0.15870276356818452,,,,,,,,
B8,8,5.0,count8_r280_norm_b0,far,8,0,2,True,False,1,281.29877354869507,-0.09599852092307218,,,,,,,,
B8,8,5.0,count8_r280_norm_b0,far,8,0,3,True,False,1,280.14460551650825,-0.032131383697143634,,,,,,,,
B8,8,5.0,count8_r280_norm_b0,far,8,0,4,True,False,1,280.14460551650825,0.032131383697143634,,,,,,,,
B8,8,5.0,count8_r280_norm_b0,far,8,0,5,True,False,1,281.29877354869507,0.09599852092307173,,,,,,,,
B8,8,5.0,count8_r280_norm_b0,far,8,0,6,True,False,1,283.59301824974466,0.15870276356818452,,,,,,,,
