model,snr_ref_db,scene,count,range_class,bs,target_index,visible,matched,false_alarms_bs,r_gt_m,u_gt,r_hat_m,u_hat,vr_hat_mps,range_abs_m,u_abs,xy_abs_m,peak_to_noise_db,gt_rd_snr_db
TS8_diagnostic,5.0,count1_r40_norm_b0,1,medium,1,0,True,True,2,175.25489256570543,0.6102558395972497,175.25450303737202,0.6103373320987412,4.51034877558608,0.00038952833341454607,8.14925014914758e-05,0.018025692782825727,23.042322550347073,
E0_full_grid,10.0,count1_r40_norm_b0,1,near,0,0,True,True,0,40.0,0.0,39.997538092690384,3.214265365280826e-06,-7.93809240665309,0.0024619073096161515,3.214265365280826e-06,0.0024846470307011933,25.30047399611024,70.42679069960592
E0_full_grid,10.0,count1_r40_norm_b0,1,medium,1,0,True,True,0,175.25489256570543,0.6102558395972497,175.2530642675882,0.610169861321934,4.502794822654314,0.0018282981172319523,8.597827531575675e-05,0.019099629754955053,23.992834387584576,
TS2_time_sparse,10.0,count1_r40_norm_b0,1,near,0,0,True,True,3,40.0,0.0,39.99743933140561,-2.59928802924408e-06,-7.9380392116692615,0.002560668594391302,2.59928802924408e-06,0.0025829732165806195,25.29729508612654,67.4256232370089
TS2_time_sparse,10.0,count1_r40_norm_b0,1,medium,1,0,True,True,0,175.25489256570543,0.6102558395972497,175.25259675007837,0.6103151175308426,4.503402472291405,0.0022958156270647123,5.9277933592838394e-05,0.013308359494736426,23.93950245915945,
TS4_time_sparse,10.0,count1_r40_norm_b0,1,near,0,0,True,True,1,40.0,0.0,39.99751130221757,-3.223222062276651e-07,-7.9378880780788865,0.0024886977824323253,3.223222062276651e-07,0.0025084054418714656,25.297243994433757,64.40657850626417
TS4_time_sparse,10.0,count1_r40_norm_b0,1,medium,1,0,True,True,2,175.25489256570543,0.6102558395972497,175.25356059354823,0.6103089502297486,4.503090970838238,0.001331972157203154,5.311063249890946e-05,0.011820189094375096,23.83561211981158,
COMB4_destagger,10.0,count1_r40_norm_b0,1,near,0,0,True,True,5,40.0,0.0,39.997604430462815,8.502837345716517e-06,-7.938211031163259,0.002395569537185338,8.502837345716517e-06,0.002437973149673354,25.30544103673702,64.44476107824795
COMB4_destagger,10.0,count1_r40_norm_b0,1,medium,1,0,True,True,2,175.25489256570543,0.6102558395972497,175.25358369658613,0.6102273025633844,4.5022005122780815,0.001308869119299061,2.8537033865294603e-05,0.0064448235652979505,23.90652268875752,
TF22_comb2_stride2,10.0,count1_r40_norm_b0,1,near,0,0,True,True,4,40.0,0.0,39.997427995450046,-6.200603734839644e-07,-7.937931778074242,0.002572004549953988,6.200603734839644e-07,0.0025924550265783793,25.300221289671377,64.39010640149205
