record,model,K,N,snr_ref_db,r_m,radial_mps,received_snr_db,measured_rd_snr_db,theory_rd_snr_db,delta_db,detection_margin_db
predicted,B_sparse_comb2,256,256,0.0,40.0,,15.917600346881503,,57.55027451536506,,53.36709584407827
predicted,C_sparse_A_plus_RCS,256,256,0.0,40.0,,15.917600346881503,,54.53997455872525,,50.35679588743846
predicted,E0_full_grid,256,256,0.0,140.0,,-5.84512142712952,,38.79785269799385,,34.61467402670706
predicted,A_sparse_comb4,256,256,0.0,140.0,,-5.84512142712952,,32.77725278471422,,28.594074113427435
predicted,B_sparse_comb2,256,256,0.0,140.0,,-5.84512142712952,,35.787552741354034,,31.604374070067248
predicted,C_sparse_A_plus_RCS,256,256,0.0,140.0,,-5.84512142712952,,32.77725278471422,,28.594074113427435
predicted,E0_full_grid,256,256,0.0,280.0,,-17.88632125368877,,26.756652871434596,,22.57347420014781
predicted,A_sparse_comb4,256,256,0.0,280.0,,-17.88632125368877,,20.73605295815497,,16.552874286868185
predicted,B_sparse_comb2,256,256,0.0,280.0,,-17.88632125368877,,23.746352914794784,,19.563174243507998
predicted,C_sparse_A_plus_RCS,256,256,0.0,280.0,,-17.88632125368877,,20.73605295815497,,16.552874286868185
predicted,E0_full_grid,256,256,5.0,40.0,,20.917600346881503,,65.56057447200487,,61.377395800718084
predicted,A_sparse_comb4,256,256,5.0,40.0,,20.917600346881503,,59.53997455872525,,55.35679588743846
predicted,B_sparse_comb2,256,256,5.0,40.0,,20.917600346881503,,62.55027451536506,,58.36709584407827
predicted,C_sparse_A_plus_RCS,256,256,5.0,40.0,,20.917600346881503,,59.53997455872525,,55.35679588743846
predicted,E0_full_grid,256,256,5.0,140.0,,-0.84512142712952,,43.79785269799385,,39.61467402670706
predicted,A_sparse_comb4,256,256,5.0,140.0,,-0.84512142712952,,37.77725278471422,,33.59407411342743
predicted,B_sparse_comb2,256,256,5.0,140.0,,-0.84512142712952,,40.787552741354034,,36.604374070067244
predicted,C_sparse_A_plus_RCS,256,256,5.0,140.0,,-0.84512142712952,,37.77725278471422,,33.59407411342743
predicted,E0_full_grid,256,256,5.0,280.0,,-12.88632125368877,,31.756652871434596,,27.57347420014781
predicted,A_sparse_comb4,256,256,5.0,280.0,,-12.88632125368877,,25.73605295815497,,21.552874286868185
