scene_index,target_index,target_id,eligible,ade_margin_m,fde_margin_m,lstm_ade_m,lstm_fde_m,transformer_ade_m,transformer_fde_m,target_interaction_gnn_ade_m,target_interaction_gnn_fde_m,proposed_ade_m,proposed_fde_m,initial_heading_rad,net_longitudinal_m,net_lateral_m,path_length_m,path_efficiency,heading_change_deg,max_lateral_excursion_m,speed_ratio,motion_type
15,6,1293,False,-0.0781596302986145,-0.3074814975261688,0.2738491892814636,0.12410387396812439,0.26547950506210327,0.45264932513237,0.30774158239364624,0.3088431656360626,0.3436391353607178,0.4315853714942932,1.58432137966156,25.91237753050248,-0.12156198533549824,25.915890048804794,0.9998754671455772,0.7029870330826149,0.12156198533549824,1.0596959436065596,straight
15,7,1382,False,-0.04306723177433014,-0.014777407050132751,0.28137683868408203,0.13005384802818298,0.2470136135816574,0.4255514144897461,0.3549196720123291,0.23917201161384583,0.29008084535598755,0.14483125507831573,-1.5995928049087524,3.119901883552131,0.014245065431912939,3.120551683521879,0.9998021889570731,1.5502041319036561,0.014245065431912939,0.2389996852896719,straight
16,0,1328,False,-0.46601951122283936,-0.6837034225463867,0.9255372285842896,2.4552693367004395,1.0230283737182617,2.640719413757324,1.473988652229309,2.89544677734375,1.391556739807129,3.138972759246826,0.0023939763195812702,12.974523727615853,1.603499619472392,13.095209150440153,0.9983219808384598,4.681750599558386,1.603499619472392,1.0634595210215088,lateral_or_mild_curve
16,1,1317,False,0.07146430015563965,-0.20624691247940063,0.788074791431427,0.7706440091133118,0.7772165536880493,0.7034271359443665,0.7550426721572876,1.0162091255187988,0.683578372001648,0.9096740484237671,0.05103451386094093,15.073973517964953,0.11980703720553512,15.198570691178347,0.9918333721188667,-11.463360219606413,0.892416870133087,0.7720765871520401,lateral_or_mild_curve
16,2,1322,False,-0.104159414768219,0.05900740623474121,0.9077922701835632,3.596571445465088,0.9269511103630066,3.007920026779175,1.0351495742797852,2.908923864364624,1.0119516849517822,2.849916458129883,0.25996822118759155,10.008630139367419,0.5586346730215375,10.096874133760972,0.9928031253624495,-25.164774527930636,0.6457588358133551,0.4607348812003467,right
16,3,1319,False,-0.11188900470733643,-0.42161059379577637,1.8983099460601807,3.2749698162078857,1.6627082824707031,2.1617050170898438,1.0047607421875,0.8032947778701782,1.1166497468948364,1.2249053716659546,0.23132002353668213,17.617950301385573,-2.9039189302789294,17.962006031464856,0.9940798950738496,-1.3890087440812628,2.9039189302789294,1.21679621754763,right
16,4,1483,False,-0.024337947368621826,-0.0456233024597168,1.570784568786621,4.029058933258057,1.4912201166152954,3.9180526733398438,0.9342047572135925,2.6387202739715576,0.9585427045822144,2.6843435764312744,-3.0931432247161865,25.981172327448018,2.3287569197613758,26.194890909430768,0.9958174579188286,9.645092219424756,2.3287569197613758,1.09872301727565,left
16,5,1450,False,-0.13824570178985596,-0.2812544107437134,1.296860694885254,2.641676425933838,1.656245231628418,3.368036985397339,1.008924961090088,1.594226598739624,1.1471706628799438,1.8754810094833374,-2.9240849018096924,27.125294139017186,0.6532130333525743,27.194719677361604,0.9977362678777124,4.6705340494891905,0.6532130333525743,0.9846904524722409,straight
16,6,1484,False,0.019230365753173828,-0.05497622489929199,1.6470273733139038,3.858975648880005,1.9757373332977295,4.341545104980469,1.303762674331665,3.1408753395080566,1.2845323085784912,3.1958515644073486,-3.056006669998169,32.83049565829145,3.787059744939737,33.132637594522706,0.9974514109879538,11.375595921024685,3.787059744939737,1.0392871618507202,left
16,7,1301,True,0.31487178802490234,0.6288037300109863,3.180344343185425,5.325108528137207,3.795246124267578,7.1802873611450195,3.1308560371398926,5.426652908325195,2.8159842491149902,4.696304798126221,-0.1440858244895935,12.412322177145025,2.3357074228407653,12.702736774463002,0.9942875510388048,11.851931379840696,2.3357074228407653,1.2018424842449182,left
17,0,1313,True,0.08632761240005493,0.7666016221046448,1.1533056497573853,3.239762544631958,1.2720741033554077,3.3603296279907227,0.46731871366500854,1.445813536643982,0.3809911012649536,0.6792119145393372,-7.736567931715399e-05,5.760758226528531,-0.0036988229638943385,5.760760800098978,0.9999997593868526,0.13032621094531083,0.0036988229638943385,2.538096965741839,straight
17,1,1371,False,-0.11642634868621826,-0.5464122891426086,0.416012704372406,1.3369311094284058,0.39995908737182617,1.2834179401397705,0.3032962679862976,0.3011128902435303,0.41972261667251587,0.8475251793861389,0.8090546131134033,1.1819501116812139,-1.0201463878983525,1.61124655565751,0.9690106429524736,129.56766883205395,1.0201463878983525,5.786083659642847,left
17,2,1343,True,0.3184913098812103,1.3120950758457184,1.4045779705047607,3.4731481075286865,1.4862534999847412,3.823882579803467,0.5361570119857788,1.5668889284133911,0.21766570210456848,0.25479385256767273,1.1589906215667725,1.8995893932505301,-4.38064292036083,4.7752643692848915,0.9998974313232399,6.038686478589438,4.38064292036083,3.2631873502173048,right
17,3,1382,True,0.41362330317497253,1.4261760711669922,2.3031222820281982,5.875522136688232,2.179405450820923,5.675421237945557,0.8097179532051086,2.4589812755584717,0.3960946500301361,1.0328052043914795,1.5320407152175903,-0.09789822976815622,-5.9087737718867475,5.924675440276794,0.9974529032931628,5.827558825374149,5.9087737718867475,3.81301798356808,right
17,4,1408,False,-0.8666522577404976,-2.463265538215637,0.10984306037425995,0.10062229633331299,0.0682329460978508,0.07822859287261963,0.6894979476928711,1.61948561668396,0.9348852038383484,2.541494131088257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,straight
