scene_index,ground_truth_min_distance_m,closest_future_step,closing_gain_m,heading_angle_deg,interaction_path_length_1_m,interaction_path_length_2_m,interaction_path_length_ratio,independent_ade_m,independent_fde_m,proposed_ade_m,proposed_fde_m,independent_pair_distance_error_m,proposed_pair_distance_error_m,pair_distance_better_fraction,group_path_length_min_m,group_path_length_max_m,group_path_length_ratio,group_lateral_displacement_max_m,group_curve_deviation_max_m,group_curve_deviation_mean_m,group_spatial_extent_x_m,group_spatial_extent_y_m,group_spatial_aspect_ratio,per_target_ade_better_count,proposed_target_ade_max_m,proposed_target_fde_max_m,target_ade_gain_min_pct,target_fde_gain_min_pct,ade_gain_pct,fde_gain_pct,pair_distance_error_gain_pct
82,6.329051971435547,5,3.513176918029785,178.58541870117188,17.22404670715332,14.764843940734863,1.1665579925050031,1.6273491382598877,3.419092893600464,0.6678721904754639,1.4312715530395508,1.9564176797866821,0.883626401424408,1.0,10.486126899719238,17.2425594329834,1.644321084022522,0.8369038105010986,0.35802608728408813,0.2890413962304592,27.771163940429688,13.706915855407715,2.026069402694702,4,1.152367353439331,2.763638496398926,28.663795471191406,32.845882415771484,58.95950200400053,58.13885151472573,54.83447064735409
89,7.205931186676025,19,5.894628047943115,90.0,12.358626365661621,0.0,12358626.365661621,0.3613513112068176,0.5077791213989258,0.22774167358875275,0.5458527207374573,0.6694473028182983,0.2873777747154236,0.949999988079071,0.0,12.378653526306152,12378654.0,12.346832275390625,0.34153592586517334,0.08538398146629333,10.586313247680664,12.346832275390625,1.1663014888763428,3,0.6475286483764648,1.9110620021820068,-23.732524871826172,-164.56072998046875,36.97499731545019,-7.4980631802345785,57.07238291862627
93,3.2637693881988525,13,2.6606709957122803,1.1805145740509033,27.55077362060547,23.930513381958008,1.151282180238427,1.5283641815185547,2.65865159034729,1.4038690328598022,2.8391551971435547,3.2465076446533203,1.12429940700531,1.0,20.769943237304688,27.609050750732422,1.3292790651321411,5.631640911102295,0.8805476427078247,0.4707016050815582,41.35736083984375,10.53112506866455,3.927155017852783,3,1.970266342163086,4.175955295562744,-367.331298828125,-680.1553344726562,8.14564684020901,-6.789291513473043,65.36895858363614
94,6.078627586364746,15,4.241706848144531,3.2646477222442627,22.73765754699707,17.75217056274414,1.2808381637970399,2.1988110542297363,4.482812881469727,1.059103012084961,2.011557102203369,0.4536130428314209,0.3520866334438324,0.800000011920929,17.787261962890625,27.966358184814453,1.5722688436508179,3.719374418258667,0.7044361233711243,0.45902736485004425,52.510581970214844,7.053277492523193,7.444848537445068,2,2.0657966136932373,4.52020263671875,-116.00942993164062,-169.7508087158203,51.832923067781536,55.12734625800701,22.381721820401758
95,7.373910427093506,3,2.7468810081481934,175.47589111328125,33.80790710449219,14.725722312927246,2.2958403252527244,2.671694278717041,5.57200813293457,1.1820553541183472,1.9633488655090332,0.6282113194465637,0.43681833148002625,0.6000000238418579,14.72964096069336,33.93503189086914,2.3038601875305176,2.8979763984680176,1.5766865015029907,0.9739513918757439,43.098777770996094,16.180252075195312,2.663665294647217,4,2.531341791152954,3.9327259063720703,27.129676818847656,41.85994338989258,55.7563392063715,64.76407035545711,30.46633864145416
103,5.890088081359863,7,8.302270889282227,3.222579002380371,36.340755462646484,0.0006102956831455231,59546.14536242942,0.9064756631851196,1.5448187589645386,0.8165373206138611,1.5905282497406006,0.7753565311431885,1.5687577724456787,0.3499999940395355,0.0,36.41024398803711,36410244.0,2.9087607860565186,1.066524863243103,0.26682514071580954,36.224159240722656,8.435782432556152,4.294107913970947,2,2.3147246837615967,4.48396635055542,-42.34785461425781,-74.47821044921875,9.921760310170779,-2.9588901941286743,-102.32727905608748
106,3.184555768966675,12,3.0524446964263916,90.0,0.0,10.157917022705078,10157917.022705078,0.8053073883056641,1.3899294137954712,0.2314063310623169,0.4488418996334076,1.1469696760177612,0.2334890365600586,0.9000000357627869,0.0,10.161954879760742,10161955.0,10.14434814453125,0.1345469206571579,0.033636730164289474,9.248546600341797,10.14434814453125,1.0968586206436157,4,0.3189089596271515,0.573340892791748,29.114761352539062,-19.836627960205078,71.26484440318039,67.70757599785172,79.64296341549984
107,7.420245170593262,3,3.308537483215332,178.6012725830078,27.780075073242188,18.810958862304688,1.4768027125353365,1.4917629957199097,2.936574935913086,0.7874667644500732,1.4620983600616455,1.1562598943710327,0.11717639118432999,1.0,16.523496627807617,27.85097885131836,1.6855378150939941,3.6136317253112793,0.6054755449295044,0.4345634765923023,44.021915435791016,13.12485122680664,3.35408878326416,4,1.2621468305587769,2.3237650394439697,39.14864730834961,41.382415771484375,47.21234092081431,50.21075940610972,89.86591234766729
109,2.5296220779418945,4,6.217535972595215,178.14669799804688,31.879287719726562,8.963349342346191,3.5566267142034693,1.0776410102844238,1.9597241878509521,0.7496833801269531,1.412677526473999,1.4419282674789429,1.9693535566329956,0.20000000298023224,0.0,31.895122528076172,31895122.0,31.812198638916016,0.45479124784469604,0.2133235816290835,9.512954711914062,33.567901611328125,3.528651475906372,3,1.1852047443389893,2.1412453651428223,-54.184059143066406,-132.97265625,30.43292033502996,27.914472085832063,-36.57777581933388
110,3.01060152053833,6,7.206953525543213,90.0,27.28907012939453,0.0,27289070.12939453,1.6805241107940674,3.3120062351226807,0.7107707858085632,1.206171989440918,3.677215337753296,1.6792351007461548,0.800000011920929,0.0,27.320175170898438,27320176.0,27.2872314453125,0.4408157169818878,0.11040688886714634,6.418478488922119,27.2872314453125,4.251355171203613,4,1.9637562036514282,3.250037908554077,21.58867073059082,-32.06359100341797,57.705409803807235,63.58183216414628,54.33405589534679
111,4.005128860473633,9,19.901458740234375,177.6722412109375,20.567516326904297,28.299575805664062,1.3759354973087092,1.0097864866256714,2.286055564880371,0.7516726851463318,1.217734456062317,0.49816417694091797,0.33046555519104004,0.8500000238418579,20.573528289794922,33.94508361816406,1.649939775466919,3.467689275741577,0.9984001517295837,0.3868319485336542,73.80963134765625,12.290759086608887,6.0052947998046875,4,1.1477502584457397,1.4162375926971436,0.5772237777709961,24.733898162841797,25.56122555589542,46.73207096232411,33.66332416346487
113,2.931178569793701,8,3.0034284591674805,90.0,0.0,14.179924011230469,14179924.011230469,1.0707058906555176,2.1939480304718018,0.4140622615814209,0.852054238319397,0.6336694359779358,0.31803417205810547,0.550000011920929,0.0,14.646739959716797,14646740.0,14.152175903320312,1.1847165822982788,0.4437074363231659,12.615978240966797,16.561004638671875,1.3127007484436035,4,0.80391925573349,1.7722837924957275,34.29077911376953,33.824981689453125,61.32810464618628,61.16342654952655,49.81071296782896
121,2.7044382095336914,4,2.4831743240356445,90.0,21.93503761291504,0.0,21935037.61291504,0.3688609004020691,0.7234315872192383,0.19052791595458984,0.31847628951072693,0.456979364156723,0.1688954085111618,0.75,0.0,21.938379287719727,21938380.0,0.14997732639312744,0.08016366511583328,0.02004091627895832,21.934524536132812,5.937018871307373,3.69453501701355,3,0.5068942904472351,0.9765402674674988,-29.821733474731445,9.199707984924316,48.34694711559049,55.97699974162012,63.04091130617478
