scene_index,target_interaction_gnn_ade_snr5,target_interaction_gnn_fde_snr5,proposed_ade_snr5,proposed_fde_snr5,ade_gain_snr5,fde_gain_snr5,target_error_cv_snr5,target_interaction_gnn_ade_snr20,target_interaction_gnn_fde_snr20,proposed_ade_snr20,proposed_fde_snr20,ade_gain_snr20,fde_gain_snr20,target_error_cv_snr20,median_distance_score,imbalance_score,selection_score,eligible
1099,0.8441362380981445,1.5346221923828125,0.9448041319847107,1.7726480960845947,-0.11925550562000857,-0.15510391084088174,0.21021975576877594,0.6686225533485413,1.2179675102233887,0.9164773225784302,1.7658412456512451,-0.3706945989012826,-0.44982623167622127,0.6314648985862732,0.1115710578059658,0.42084232717752457,0.21678163960034694,False
746,0.93622225522995,1.9374001026153564,0.9221523404121399,1.9439945220947266,0.015028391751223944,-0.0034037468411755043,0.6353614330291748,0.8455276489257812,1.595288634300232,0.8909931182861328,1.802909255027771,-0.05377171215880893,-0.13014611667349538,0.5324819087982178,0.08785401098241208,0.5839216709136963,0.23383442871083615,False
278,1.2171179056167603,2.216475009918213,1.093695878982544,1.963707685470581,0.10140515233951278,0.11404023204257054,0.6090473532676697,0.8958918452262878,1.7011215686798096,0.7951342463493347,1.4885191917419434,0.11246625294541372,0.12497776811028306,0.5075553059577942,0.09431085612027516,0.5583013296127319,0.23388618852345816,True
1052,0.9481590390205383,1.7625564336776733,1.0424911975860596,1.9021317958831787,-0.09948980570070574,-0.07918915930213566,0.47675031423568726,0.9570083022117615,1.5652194023132324,1.0745600461959839,1.6693094968795776,-0.12283252267775124,-0.06650191941941866,0.4795864522457123,0.12125770788784347,0.47816838324069977,0.2407998036980184,False
707,1.1539109945297241,2.1288561820983887,1.0632494688034058,1.9885571002960205,0.07856890709605156,0.06590350394833952,0.46994081139564514,0.5943185687065125,1.5665428638458252,0.6480658650398254,1.6018083095550537,-0.09043516249254965,-0.022511637902235686,0.4525579512119293,0.12792696515828655,0.46124938130378723,0.24323931048423336,False
277,1.123076319694519,1.944490909576416,1.1131588220596313,2.0417609214782715,0.008830653323351428,-0.05002338217309772,0.2785775065422058,0.6402738690376282,1.2890827655792236,0.675175666809082,1.4305983781814575,-0.05451073276489239,-0.10978008269208896,0.29589760303497314,0.18070019713575258,0.2872375547885895,0.25250958583289995,False
442,1.0912312269210815,2.1405253410339355,1.090222954750061,2.1480324268341064,0.0009239766477956799,-0.0035071230675291884,0.5020788311958313,0.8460367321968079,1.7940737009048462,0.9361610412597656,2.00230073928833,-0.10652529096336298,-0.11606381514787491,0.4244818091392517,0.14244419600666916,0.4632803201675415,0.2582642760485545,False
1010,1.013702392578125,2.1415481567382812,1.053401231765747,2.2307422161102295,-0.03916222303338652,-0.0416493362950085,0.42740970849990845,0.7299560904502869,1.8444865942001343,0.8500974774360657,2.1282641887664795,-0.16458714237409455,-0.15385180649112062,0.5752519965171814,0.13640521914793124,0.5013308525085449,0.2617379322750675,False
274,1.2485812902450562,2.232600450515747,1.1425894498825073,1.88480806350708,0.08488981950205746,0.1557790543884932,0.46171438694000244,1.047224760055542,1.8780958652496338,0.9225662350654602,1.411451816558838,0.11903702981914813,0.24846657581495193,0.5292634963989258,0.13840770891910537,0.4954889416694641,0.2622799443364714,True
929,1.0268229246139526,2.4109859466552734,1.0828136205673218,2.28178334236145,-0.05452809302482175,0.05358911547081566,0.45824798941612244,0.8309414982795715,2.1798319816589355,0.8223342895507812,2.0422415733337402,0.010358381121428088,0.06311973100811363,0.4835761785507202,0.15061724799975723,0.4709120839834213,0.26834526899561256,False
351,0.9755312204360962,1.6608697175979614,1.002208948135376,1.7424999475479126,-0.027346872289083602,-0.04914908682181837,0.30559229850769043,0.8093572854995728,1.273005485534668,0.781886100769043,1.2976359128952026,0.0339419749753328,-0.01934824919484913,0.4361945688724518,0.17643954975297824,0.3708934336900711,0.26916290817549604,False
