origin,slot,episode_id,source_block,qgnn_ADE,qgnn_FDE,gnn_ADE,gnn_FDE
102,7,s1_t1118936980200_a1561,21,0.01824263110756874,0.027775321155786514,0.012140778824687004,0.01239443477243185
103,0,s1_t1118936980200_a1561,21,0.010945196263492107,0.06477856636047363,0.014642578549683094,0.06400909274816513
103,1,s1_t1118936980200_a1561,21,0.009261442348361015,0.007648881990462542,0.010863512754440308,0.018422149121761322
103,2,s1_t1118936980200_a1561,21,0.6388442516326904,1.6998350620269775,1.114553689956665,3.1484005451202393
103,3,s1_t1118936980200_a1561,21,0.3007166385650635,0.9514385461807251,0.42947202920913696,1.3112024068832397
103,4,s1_t1118936980200_a1561,21,0.9847389459609985,1.384045124053955,1.0487111806869507,1.3442327976226807
103,5,s1_t1118936980200_a1561,21,0.2613634169101715,0.695885419845581,0.2918887734413147,0.8664388656616211
103,6,s1_t1118936980200_a1561,21,0.013212783262133598,0.010997409000992775,0.007873636670410633,0.0020899525843560696
103,7,s1_t1118936980200_a1561,21,0.018382007256150246,0.028102269396185875,0.012168044224381447,0.012444300577044487
104,0,s1_t1118936980200_a1561,21,0.17589199542999268,0.5343389511108398,0.1760217249393463,0.529280960559845
104,1,s1_t1118936980200_a1561,21,0.009278418496251106,0.007650971412658691,0.010886969976127148,0.018478520214557648
104,2,s1_t1118936980200_a1561,21,0.8217698931694031,1.3201860189437866,1.2437701225280762,2.937107563018799
104,3,s1_t1118936980200_a1561,21,0.5091685056686401,0.6997285485267639,0.6759441494941711,1.4919992685317993
104,4,s1_t1118936980200_a1561,21,1.264507532119751,3.008101224899292,0.8148841857910156,1.9352669715881348
104,5,s1_t1118936980200_a1561,21,0.5518289804458618,1.2224777936935425,0.42820554971694946,1.141383171081543
104,6,s1_t1118936980200_a1561,21,0.00933017861098051,0.0065530515275895596,0.004995089955627918,0.0022257647942751646
104,7,s1_t1118936980200_a1561,21,0.018500175327062607,0.02835848182439804,0.01218701247125864,0.012483447790145874
105,0,s1_t1118936980200_a1561,21,0.24158795177936554,0.2039206326007843,0.2355603277683258,0.17599542438983917
105,1,s1_t1118936980200_a1561,21,0.009300884790718555,0.0076774912886321545,0.012802688404917717,0.022006625309586525
105,2,s1_t1118936980200_a1561,21,1.5521771907806396,3.0616424083709717,2.3930797576904297,3.541724920272827
105,3,s1_t1118936980200_a1561,21,0.9413726925849915,0.7482547760009766,1.2181084156036377,1.1342730522155762
105,4,s1_t1118936980200_a1561,21,0.9050995111465454,1.8504739999771118,0.6042541265487671,1.4418601989746094
105,5,s1_t1118936980200_a1561,21,0.7125234603881836,1.5025371313095093,0.8873075246810913,1.8784656524658203
105,6,s1_t1118936980200_a1561,21,0.005592547357082367,0.0017272292170673609,0.003857329022139311,0.005546522792428732
105,7,s1_t1118936980200_a1561,21,0.018487781286239624,0.027875564992427826,0.012756219133734703,0.013108246959745884
106,0,s1_t1118936980200_a1561,21,0.5740178823471069,1.2705057859420776,0.5744792819023132,1.2720074653625488
106,1,s1_t1118936980200_a1561,21,0.009294427931308746,0.007492693606764078,0.013284618966281414,0.02320047654211521
106,2,s1_t1118936980200_a1561,21,1.526392936706543,3.054314136505127,1.6709121465682983,3.0864672660827637
106,3,s1_t1118936980200_a1561,21,0.8638890981674194,1.3874050378799438,0.8902255892753601,0.5667502284049988
106,4,s1_t1118936980200_a1561,21,0.795632541179657,1.8436782360076904,1.268479824066162,3.010113000869751
106,5,s1_t1118936980200_a1561,21,0.787615954875946,0.5007785558700562,0.8531485795974731,0.9546066522598267
106,6,s1_t1118936980200_a1561,21,0.004286415874958038,0.0049606324173510075,0.0063876137137413025,0.009678678587079048
