horizon_steps,horizon_seconds,ADE,FDE,J,ade_scenes,fde_scenes,ade_targets,fde_targets,valid_points,total_scenes,scenes_without_supervision,ADE_point_trainrule_eval,FDE_trainrule_eval,J_trainrule_eval,ADE_point_scoreable_scenes,FDE_scoreable_scenes,fixed_complete_targets,fixed_complete_scenes,fixed_ADE,fixed_FDE,model,family,checkpoint_stage,split,snr_db
14,1.4000000000000001,0.31511348572458914,0.5518090381988188,0.5910180048239986,5436,5413,34342,33475,474736,5549,113,0.30944075281726857,0.5382847943359534,0.5785831499852453,0.3158732040807622,0.5518090381988188,33073,5399,0.30962019215100545,0.5430825870599549,A_latest,A,latest,train,20
15,1.5,0.33262540912833316,0.5861885763095834,0.6257196972831249,5436,5410,34342,33406,508142,5549,113,0.3267099215835903,0.5715048112875918,0.6124623272273861,0.33350135299252065,0.5861885763095834,33073,5399,0.32754525809537727,0.5784961813165826,A_latest,A,latest,train,20
16,1.6,0.350100695448806,0.6220231739326362,0.6611122824151241,5436,5407,34342,33329,541471,5549,113,0.34395630845180575,0.6061054787265748,0.6470090478150932,0.3511062464310284,0.6220231739326362,33073,5399,0.34551250111354986,0.6150211463861386,A_latest,A,latest,train,20
17,1.7000000000000002,0.3676736041112494,0.6604597810784312,0.697903494650465,5436,5407,34342,33272,574743,5549,113,0.3613279985792671,0.6435584855453373,0.6831072413519357,0.36883904785069044,0.6604597810784312,33073,5399,0.36364901878316447,0.6538333014969996,A_latest,A,latest,train,20
18,1.8,0.38537142227644133,0.6995254482749381,0.7351341464139104,5436,5404,34342,33207,607950,5549,113,0.37884433308788246,0.6812462646382711,0.7194674654070179,0.3867195004239624,0.6995254482749381,33073,5399,0.38206647107587294,0.6951631600519155,A_latest,A,latest,train,20
19,1.9000000000000001,0.40318089136328616,0.7387233423825722,0.7725425625545723,5436,5402,34342,33140,641090,5549,113,0.39648094472787676,0.719153630483088,0.7560577599694207,0.40472273037067474,0.7387233423825722,33073,5399,0.4007416998707189,0.7368958181779462,A_latest,A,latest,train,20
20,2.0,0.4212299696219435,0.7810948695379398,0.8117774043909134,5436,5399,34342,33073,674163,5549,113,0.4143600057687019,0.7599803929780747,0.7943502022577392,0.42297344959722716,0.7810948695379398,33073,5399,0.4197593583540799,0.7810948695379398,A_latest,A,latest,train,20
1,0.1,0.0471331109917303,0.0471331109917303,0.07069966648759546,400,400,2867,2867,2867,400,0,0.0471331109917303,0.0471331109917303,0.07069966648759544,0.0471331109917303,0.0471331109917303,2808,400,0.045510613783857415,0.045510613783857415,A_latest,A,latest,V_select,5
2,0.2,0.07061550222855052,0.09372899029922568,0.11747999737816336,400,400,2867,2863,5730,400,0,0.07041881420068698,0.09372899029922568,0.11728330935029982,0.07041881420068698,0.09372899029922568,2808,400,0.06819663705596994,0.09088266032808245,A_latest,A,latest,V_select,5
3,0.30000000000000004,0.09529324665456179,0.14454311603111655,0.16756480467012008,400,400,2867,2858,8588,400,0,0.09506733086483762,0.14454311603111655,0.16733888888039591,0.09506733086483762,0.14454311603111655,2808,400,0.09170687835507364,0.13872736095328103,A_latest,A,latest,V_select,5
4,0.4,0.12072377530463126,0.19714303473845732,0.21929529267385992,400,400,2867,2854,11442,400,0,0.12050732203010515,0.19714303473845732,0.21907883939933379,0.12050732203010515,0.19714303473845732,2808,400,0.11625179509467053,0.18988654531346114,A_latest,A,latest,V_select,5
5,0.5,0.14670225386096325,0.2511557115535701,0.2722801096377483,400,400,2867,2853,14295,400,0,0.1465488093644499,0.2511557115535701,0.2721266651412349,0.1465488093644499,0.2511557115535701,2808,400,0.14144385955233346,0.24221211738298526,A_latest,A,latest,V_select,5
6,0.6000000000000001,0.1722627355756756,0.30086866470354257,0.3226970679274469,400,400,2867,2845,17140,400,0,0.17213277365615576,0.30086866470354257,0.322567106007927,0.17213277365615576,0.30086866470354257,2808,400,0.16654830065697204,0.2920705061801647,A_latest,A,latest,V_select,5
7,0.7000000000000001,0.19808385510799958,0.35454920045050586,0.3753584553332525,400,400,2867,2845,19985,400,0,0.19805302378021714,0.35454920045050586,0.37532762400547015,0.19805302378021714,0.35454920045050586,2808,400,0.192148161970473,0.3457473298514788,A_latest,A,latest,V_select,5
8,0.8,0.22388494734173045,0.4063162345705483,0.4270430646270046,400,400,2867,2842,22827,400,0,0.22395339923859464,0.4063162345705483,0.42711151652386875,0.22395339923859464,0.4063162345705483,2808,400,0.2179236345408294,0.398351942533324,A_latest,A,latest,V_select,5
9,0.9,0.2497175444281963,0.45861132026664286,0.4790232045615177,400,400,2867,2841,25668,400,0,0.2499032558247761,0.45861132026664286,0.47920891595809756,0.2499032558247761,0.45861132026664286,2808,400,0.2438756096757711,0.4514914107553048,A_latest,A,latest,V_select,5
10,1.0,0.2759337266294691,0.5149579376132793,0.5334126954361087,400,400,2867,2840,28508,400,0,0.27626841053050777,0.5149579376132793,0.5337473793371474,0.27626841053050777,0.5149579376132793,2808,400,0.27025975689931864,0.5077170819112468,A_latest,A,latest,V_select,5
11,1.1,0.30233564489562337,0.5697240792314974,0.587197684511372,400,400,2867,2835,31343,400,0,0.30278184204152525,0.5697240792314974,0.587643881657274,0.30278184204152525,0.5697240792314974,2808,400,0.29688828375562354,0.5631735523186723,A_latest,A,latest,V_select,5
12,1.2000000000000002,0.3291841561459986,0.6283454699114295,0.6433568911017133,400,400,2867,2831,34174,400,0,0.32972986661947495,0.6283454699114295,0.6439026015751899,0.32972986661947495,0.6283454699114295,2808,400,0.324050583205223,0.6228358771508177,A_latest,A,latest,V_select,5
13,1.3,0.356448344028431,0.6885502224296307,0.7007234552432464,400,400,2867,2826,37000,400,0,0.357080095211991,0.6885502224296307,0.7013552064268063,0.357080095211991,0.6885502224296307,2808,400,0.3516484420337788,0.6828227479764476,A_latest,A,latest,V_select,5
14,1.4000000000000001,0.38429980222923715,0.7533621930698818,0.7609808987641781,400,400,2867,2822,39822,400,0,0.3850720835363295,0.7533621930698818,0.7617531800712704,0.3850720835363295,0.7533621930698818,2808,400,0.37989638408100845,0.7471196306949943,A_latest,A,latest,V_select,5
15,1.5,0.4127890801080132,0.820428243613905,0.8230032019149657,400,400,2867,2820,42642,400,0,0.4137482703494463,0.820428243613905,0.8239623921563987,0.4137482703494463,0.820428243613905,2808,400,0.40886371422975143,0.8144063363121533,A_latest,A,latest,V_select,5
16,1.6,0.44155253029508307,0.8823690295575094,0.8827370450738378,400,400,2867,2812,45454,400,0,0.4426218939372781,0.8823690295575094,0.8838064087160328,0.4426218939372781,0.8823690295575094,2808,400,0.43837993520564916,0.8811232498441143,A_latest,A,latest,V_select,5
17,1.7000000000000002,0.470518805695588,0.9456048121807273,0.9433212117859517,400,400,2867,2812,48266,400,0,0.4717857916267629,0.9456048121807273,0.9445881977171265,0.4717857916267629,0.9456048121807273,2808,400,0.46814398816228925,0.944368835468531,A_latest,A,latest,V_select,5
18,1.8,0.4999383166037285,1.0130285936609016,1.0064526134341794,400,400,2867,2810,51076,400,0,0.5014438022471283,1.0130285936609016,1.007958099077579,0.5014438022471283,1.0130285936609016,2808,400,0.4983957833963318,1.0126763023750553,A_latest,A,latest,V_select,5
19,1.9000000000000001,0.5296999978592833,1.0799167853895353,1.0696583905540509,400,400,2867,2809,53885,400,0,0.5314955041802869,1.0799167853895353,1.0714538968750547,0.5314955041802869,1.0799167853895353,2808,400,0.5290123694266898,1.0801109179731359,A_latest,A,latest,V_select,5
20,2.0,0.5598962213361903,1.149973985712542,1.1348832141924614,400,400,2867,2808,56693,400,0,0.5620240323793688,1.149973985712542,1.1370110252356398,0.5620240323793688,1.149973985712542,2808,400,0.5600604502409826,1.149973985712542,A_latest,A,latest,V_select,5
1,0.1,0.047067187316407626,0.047067187316407626,0.07060078097461144,400,400,2867,2867,2867,400,0,0.047067187316407626,0.047067187316407626,0.07060078097461145,0.047067187316407626,0.047067187316407626,2808,400,0.04545775756909093,0.04545775756909093,A_latest,A,latest,V_select,10
2,0.2,0.0705531388852631,0.09367010216958359,0.1173881899700549,400,400,2867,2863,5730,400,0,0.07035638860631678,0.09367010216958359,0.11719143969110858,0.07035638860631678,0.09367010216958359,2808,400,0.06814629307191797,0.09083482857474501,A_latest,A,latest,V_select,10
3,0.30000000000000004,0.09524619583920682,0.14452860614945054,0.1675104989139321,400,400,2867,2858,8588,400,0,0.09502123471384255,0.14452860614945054,0.16728553778856786,0.09502123471384255,0.14452860614945054,2808,400,0.09166896027045247,0.13871429466752144,A_latest,A,latest,V_select,10
4,0.4,0.12069165299733388,0.1971600047593047,0.21927165537698623,400,400,2867,2854,11442,400,0,0.1204768335332798,0.1971600047593047,0.21905683591293215,0.1204768335332798,0.1971600047593047,2808,400,0.11622827949460932,0.18990623716707994,A_latest,A,latest,V_select,10
5,0.5,0.1466832196740133,0.2511921757126101,0.27227930753031837,400,400,2867,2853,14295,400,0,0.14653173031420402,0.2511921757126101,0.2721278181705091,0.14653173031420402,0.2511921757126101,2808,400,0.1414315984261641,0.2422448741523831,A_latest,A,latest,V_select,10
6,0.6000000000000001,0.1722633389851563,0.30096990830267467,0.32274829313649367,400,400,2867,2845,17140,400,0,0.1721353809111566,0.30096990830267467,0.32262033506249393,0.1721353809111566,0.30096990830267467,2808,400,0.16655571833062768,0.2921763178529458,A_latest,A,latest,V_select,10
7,0.7000000000000001,0.19809984204960793,0.3546606795616239,0.3754301818304199,400,400,2867,2845,19985,400,0,0.19807113191086564,0.3546606795616239,0.3754014716916776,0.19807113191086564,0.3546606795616239,2808,400,0.19217153581223115,0.34586644070185185,A_latest,A,latest,V_select,10
8,0.8,0.22391453563571595,0.40644459801639354,0.4271368346439127,400,400,2867,2842,22827,400,0,0.223985197245229,0.40644459801639354,0.4272074962534258,0.223985197245229,0.40644459801639354,2808,400,0.2179605975719069,0.39848402988963705,A_latest,A,latest,V_select,10
9,0.9,0.2497569217382167,0.4587322493759634,0.4791230464261984,400,400,2867,2841,25668,400,0,0.2499448849095372,0.4587322493759634,0.47931100959751893,0.2499448849095372,0.4587322493759634,2808,400,0.24392202486300887,0.4516134431918248,A_latest,A,latest,V_select,10
10,1.0,0.275978705357588,0.5150579609876959,0.5335076858514359,400,400,2867,2840,28508,400,0,0.276315815255194,0.5150579609876959,0.533844795749042,0.276315815255194,0.5150579609876959,2808,400,0.2703117451114148,0.507819227347068,A_latest,A,latest,V_select,10
11,1.1,0.30238224726340557,0.569786929903843,0.5872757122153272,400,400,2867,2835,31343,400,0,0.3028306633950484,0.569786929903843,0.58772412834697,0.3028306633950484,0.569786929903843,2808,400,0.2969420156510487,0.5632447210473883,A_latest,A,latest,V_select,10
12,1.2000000000000002,0.32923180148813,0.6284027040150705,0.6434331534956652,400,400,2867,2831,34174,400,0,0.32977942107287533,0.6284027040150705,0.6439807730804106,0.32977942107287533,0.6284027040150705,2808,400,0.3241051439190312,0.6228995548668379,A_latest,A,latest,V_select,10
13,1.3,0.35649638702589975,0.6885989960316837,0.7007958850417416,400,400,2867,2826,37000,400,0,0.35712970929775883,0.6885989960316837,0.7014292073136006,0.35712970929775883,0.6885989960316837,2808,400,0.35170310075565864,0.6828785827951883,A_latest,A,latest,V_select,10
14,1.4000000000000001,0.384346988211303,0.7533986634056755,0.7610463199141407,400,400,2867,2822,39822,400,0,0.3851208970854701,0.7533986634056755,0.7618202287883079,0.3851208970854701,0.7533986634056755,2808,400,0.37994980885073354,0.7471570140867074,A_latest,A,latest,V_select,10
15,1.5,0.41283571976479194,0.8204698759903587,0.8230706577599713,400,400,2867,2820,42642,400,0,0.41379661463824924,0.8204698759903587,0.8240315526334285,0.41379661463824924,0.8204698759903587,2808,400,0.4089163873978231,0.8144484870570764,A_latest,A,latest,V_select,10
16,1.6,0.4415984786333068,0.8824112180944726,0.8828040876805432,400,400,2867,2812,45454,400,0,0.44266986160305744,0.8824112180944726,0.8838754706502938,0.44266986160305744,0.8824112180944726,2808,400,0.4384319121497386,0.8811647834284707,A_latest,A,latest,V_select,10
