record_type,split,snr_db,input_path,input_semantic_hash,window_entries,unique_episode_frame_slot,track_exists_exact,detected_change_count,all_state_exact_fraction,position_difference_m_count,position_difference_m_mean,position_difference_m_median,position_difference_m_p90,position_difference_m_p99,position_difference_m_max,velocity_difference_mps_count,velocity_difference_mps_mean,velocity_difference_mps_median,velocity_difference_mps_p90,velocity_difference_mps_p99,velocity_difference_mps_max,state_x_mean,state_x_std,state_y_mean,state_y_std,state_vx_mean,state_vx_std,state_vy_mean,state_vy_std,model,prediction_change_m,paired_ADE_signed_difference_m,paired_ADE_absolute_difference_m,paired_FDE_signed_difference_m,paired_FDE_absolute_difference_m
model_output_difference_vs_20dB,V_select,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q_best,"{""count"": 2871, ""mean"": 0.004525409613603448, ""median"": 0.0006914072437211871, ""p90"": 0.022465646266937256, ""p99"": 0.03535256795585155}","{""count"": 2867, ""mean"": 9.164119950661659e-05, ""median"": 4.48496642185825e-08, ""p90"": 0.002660897463193169, ""p99"": 0.021676334712970705}","{""count"": 2867, ""mean"": 0.0022739067288804382, ""median"": 0.00024164398541753895, ""p90"": 0.007351879011010011, ""p99"": 0.023861847995365528}","{""count"": 2808, ""mean"": 0.00020832753119930079, ""median"": 0.0, ""p90"": 0.005781777459132577, ""p99"": 0.033914007178227776}","{""count"": 2808, ""mean"": 0.004308287824761969, ""median"": 0.0006511734987152962, ""p90"": 0.013893150559830087, ""p99"": 0.040970334109754813}"
model_output_difference_vs_20dB,V_select,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q_best,"{""count"": 2871, ""mean"": 0.0024416801887979967, ""median"": 0.00026484887348487973, ""p90"": 0.004318971186876297, ""p99"": 0.026486180722713484}","{""count"": 2867, ""mean"": 0.00010400233488741703, ""median"": 0.0, ""p90"": 0.0011104582115034408, ""p99"": 0.015817722375674324}","{""count"": 2867, ""mean"": 0.001285505570479384, ""median"": 8.839206661387204e-05, ""p90"": 0.002571105020603161, ""p99"": 0.01993977642437556}","{""count"": 2808, ""mean"": 0.00021975439294608966, ""median"": 0.0, ""p90"": 0.0028155596164520457, ""p99"": 0.024538023302227006}","{""count"": 2808, ""mean"": 0.0024309581354874897, ""median"": 0.00021336375207420266, ""p90"": 0.00570386351688581, ""p99"": 0.03228239401852121}"
model_output_difference_vs_20dB,V_select,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q_best,"{""count"": 2871, ""mean"": 0.0008960616821112239, ""median"": 2.450079409754835e-05, ""p90"": 0.0012591715203598142, ""p99"": 0.024994774162769316}","{""count"": 2867, ""mean"": 3.3845755666407844e-05, ""median"": 0.0, ""p90"": 0.00035381215272245475, ""p99"": 0.006072721262531638}","{""count"": 2867, ""mean"": 0.0004949274830493796, ""median"": 1.0930441542988945e-05, ""p90"": 0.0007987228858919785, ""p99"": 0.013202911934812794}","{""count"": 2808, ""mean"": 0.00013240939858656474, ""median"": 0.0, ""p90"": 0.0008984436969337484, ""p99"": 0.013006711353929362}","{""count"": 2808, ""mean"": 0.0009657868652714257, ""median"": 2.2770204721045753e-05, ""p90"": 0.001874779482894651, ""p99"": 0.019360813552834547}"
model_output_difference_vs_20dB,V_select,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q_best,"{""count"": 2871, ""mean"": 0.0, ""median"": 0.0, ""p90"": 0.0, ""p99"": 0.0}","{""count"": 2867, ""mean"": 0.0, ""median"": 0.0, ""p90"": 0.0, ""p99"": 0.0}","{""count"": 2867, ""mean"": 0.0, ""median"": 0.0, ""p90"": 0.0, ""p99"": 0.0}","{""count"": 2808, ""mean"": 0.0, ""median"": 0.0, ""p90"": 0.0, ""p99"": 0.0}","{""count"": 2808, ""mean"": 0.0, ""median"": 0.0, ""p90"": 0.0, ""p99"": 0.0}"
model_output_difference_vs_20dB,V_select,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,G_best,"{""count"": 2871, ""mean"": 0.00483512537156243, ""median"": 0.0007249226327985525, ""p90"": 0.02352675423026085, ""p99"": 0.035359013825654984}","{""count"": 2867, ""mean"": -3.858085869756182e-05, ""median"": 2.4793433970986267e-07, ""p90"": 0.0031097247643909333, ""p99"": 0.020791641492270203}","{""count"": 2867, ""mean"": 0.002495728549832218, ""median"": 0.00027816163243188363, ""p90"": 0.008023885341040439, ""p99"": 0.0252662510623681}","{""count"": 2808, ""mean"": -0.00014341405007830952, ""median"": 9.168732832860738e-08, ""p90"": 0.006984952696660689, ""p99"": 0.03496274101845185}","{""count"": 2808, ""mean"": 0.004946963478409457, ""median"": 0.0007146813851806044, ""p90"": 0.014815373553176886, ""p99"": 0.049939564192248}"
model_output_difference_vs_20dB,V_select,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,G_best,"{""count"": 2871, ""mean"": 0.0025809035765697315, ""median"": 0.00024838405079208314, ""p90"": 0.005340634845197201, ""p99"": 0.02760158944875005}","{""count"": 2867, ""mean"": 0.00012012754224403485, ""median"": 5.0231678474718655e-08, ""p90"": 0.0013757491415419942, ""p99"": 0.01588266403649583}","{""count"": 2867, ""mean"": 0.0013608728672147487, ""median"": 8.74102339186722e-05, ""p90"": 0.003265432194080154, ""p99"": 0.020731086115153487}","{""count"": 2808, ""mean"": 0.00019932632976995214, ""median"": 0.0, ""p90"": 0.0033274203527553234, ""p99"": 0.025119262717954075}","{""count"": 2808, ""mean"": 0.0027135506443517134, ""median"": 0.00022238016274915649, ""p90"": 0.007215363897093049, ""p99"": 0.03556103154580174}"
model_output_difference_vs_20dB,V_select,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,G_best,"{""count"": 2871, ""mean"": 0.0009757842939006739, ""median"": 2.8840975573984906e-05, ""p90"": 0.0014680103631690145, ""p99"": 0.025005976110696795}","{""count"": 2867, ""mean"": 1.66037763216636e-05, ""median"": 0.0, ""p90"": 0.0002688795387453269, ""p99"": 0.0067472456427690765}","{""count"": 2867, ""mean"": 0.0005368210746399301, ""median"": 1.0951528928049292e-05, ""p90"": 0.0008707668480072428, ""p99"": 0.010581059007605101}","{""count"": 2808, ""mean"": 5.8431216684150505e-05, ""median"": 0.0, ""p90"": 0.0006966519377275661, ""p99"": 0.011801237258660441}","{""count"": 2808, ""mean"": 0.0011224911647962608, ""median"": 2.89008476158795e-05, ""p90"": 0.002111085564818686, ""p99"": 0.021325544519385974}"
model_output_difference_vs_20dB,V_select,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,G_best,"{""count"": 2871, ""mean"": 0.0, ""median"": 0.0, ""p90"": 0.0, ""p99"": 0.0}","{""count"": 2867, ""mean"": 0.0, ""median"": 0.0, ""p90"": 0.0, ""p99"": 0.0}","{""count"": 2867, ""mean"": 0.0, ""median"": 0.0, ""p90"": 0.0, ""p99"": 0.0}","{""count"": 2808, ""mean"": 0.0, ""median"": 0.0, ""p90"": 0.0, ""p99"": 0.0}","{""count"": 2808, ""mean"": 0.0, ""median"": 0.0, ""p90"": 0.0, ""p99"": 0.0}"
model_output_difference_vs_20dB,V_select,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,A_best,"{""count"": 2871, ""mean"": 0.004516677393660523, ""median"": 0.0006144576473161578, ""p90"": 0.022309867665171623, ""p99"": 0.03533707596361637}","{""count"": 2867, ""mean"": 2.9770923026548116e-05, ""median"": 2.814669035604983e-08, ""p90"": 0.002624942407055446, ""p99"": 0.021103383263733507}","{""count"": 2867, ""mean"": 0.0022470873932628043, ""median"": 0.00024307916898247406, ""p90"": 0.006484731949278747, ""p99"": 0.024586413075165448}","{""count"": 2808, ""mean"": 7.591032822855014e-05, ""median"": 0.0, ""p90"": 0.00564604689738254, ""p99"": 0.036559427573772355}","{""count"": 2808, ""mean"": 0.004208558091885965, ""median"": 0.0005595209294946835, ""p90"": 0.012807155527576244, ""p99"": 0.0445694285145001}"
model_output_difference_vs_20dB,V_select,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,A_best,"{""count"": 2871, ""mean"": 0.002445693857502867, ""median"": 0.00019822840113192797, ""p90"": 0.004381086677312851, ""p99"": 0.028028994053602267}","{""count"": 2867, ""mean"": 9.73207755495441e-05, ""median"": 0.0, ""p90"": 0.0009627711417406815, ""p99"": 0.014702882285567648}","{""count"": 2867, ""mean"": 0.0012418582588807879, ""median"": 7.666202472045303e-05, ""p90"": 0.002617626293016086, ""p99"": 0.02067068571334823}","{""count"": 2808, ""mean"": 0.00021981977086834645, ""median"": 0.0, ""p90"": 0.0022764236853810285, ""p99"": 0.02489824383974561}","{""count"": 2808, ""mean"": 0.0023237597337922803, ""median"": 0.00018477538323910438, ""p90"": 0.0058230078704714534, ""p99"": 0.03524905890884951}"
model_output_difference_vs_20dB,V_select,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,A_best,"{""count"": 2871, ""mean"": 0.0008911677014448988, ""median"": 1.6079375200206414e-05, ""p90"": 0.0011058576637879014, ""p99"": 0.024999720416963103}","{""count"": 2867, ""mean"": 2.252152348347317e-05, ""median"": 0.0, ""p90"": 0.0002554997654931058, ""p99"": 0.005031918674252682}","{""count"": 2867, ""mean"": 0.00046206176799803484, ""median"": 6.295059541638892e-06, ""p90"": 0.0006933496646141624, ""p99"": 0.012275232421257325}","{""count"": 2808, ""mean"": 0.00011001239630069978, ""median"": 0.0, ""p90"": 0.0006680942628311433, ""p99"": 0.011698621718506639}","{""count"": 2808, ""mean"": 0.000878547096429686, ""median"": 1.6428006891316266e-05, ""p90"": 0.0016839438947366986, ""p99"": 0.01634428680732248}"
model_output_difference_vs_20dB,V_select,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,A_best,"{""count"": 2871, ""mean"": 0.0, ""median"": 0.0, ""p90"": 0.0, ""p99"": 0.0}","{""count"": 2867, ""mean"": 0.0, ""median"": 0.0, ""p90"": 0.0, ""p99"": 0.0}","{""count"": 2867, ""mean"": 0.0, ""median"": 0.0, ""p90"": 0.0, ""p99"": 0.0}","{""count"": 2808, ""mean"": 0.0, ""median"": 0.0, ""p90"": 0.0, ""p99"": 0.0}","{""count"": 2808, ""mean"": 0.0, ""median"": 0.0, ""p90"": 0.0, ""p99"": 0.0}"
