group_type,group_value,targets,origins,episodes,Q_minus_G_ADE,Q_minus_G_FDE,A_minus_Q_ADE,A_minus_Q_FDE,split
episode_id,s0_t1118935820200_a143,248,31,1,-0.0045065140974495975,-0.014017097885341957,-0.00016561375333269253,-0.0027702768171667135,train
episode_id,s0_t1118935820200_a149,217,31,1,-0.0035171433099141125,-0.008667407210364471,-0.0021539268557887186,-0.00914053855192873,train
episode_id,s0_t1118935840200_a124,170,31,1,-0.09437720727460568,-0.3251210896535628,0.13166219829719605,0.298429372626352,train
episode_id,s0_t1118935840200_a126,227,31,1,-0.06723942680947873,-0.1405276746961446,0.08835641307540355,0.15411547883273333,train
episode_id,s0_t1118935840200_a135,170,31,1,-0.09448489991501036,-0.3240906494969296,0.13207075612522384,0.3001607299245495,train
episode_id,s0_t1118935860200_a163,248,31,1,-0.07772672774706697,-0.18827064104090205,0.11601124037133836,0.24286409299925407,train
episode_id,s0_t1118935860200_a175,224,31,1,-0.1519603879768101,-0.36017495781390185,0.11724472062361516,0.2295641676139898,train
episode_id,s0_t1118935860200_a181,224,31,1,-0.15224783621621454,-0.3612757341343306,0.1168536167858532,0.22910868790665734,train
episode_id,s0_t1118935880200_a169,127,31,1,-0.09959852509496019,-0.24433699478485946,0.08281777192553334,0.22869329247274597,train
episode_id,s0_t1118935880200_a184,179,31,1,-0.03021440494379616,-0.1165869765789668,0.011786182765894097,0.048349923159449505,train
episode_id,s0_t1118935880200_a194,221,31,1,-0.0336808754854472,-0.0961623114787113,0.045123827133314504,0.13152318594540066,train
episode_id,s0_t1118935900200_a207,248,31,1,-0.006403003588646641,-0.013436706141260784,-0.0048433119100207795,-0.012123689846983952,train
episode_id,s0_t1118935900200_a212,189,31,1,-0.16542457580331144,-0.45028420749064213,0.09994818998627597,0.2703922540062748,train
episode_id,s0_t1118935900200_a218,248,31,1,-0.021093416803010117,-0.08907855944587391,0.06994773543842421,0.21134056407160126,train
episode_id,s0_t1118935920200_a162,248,31,1,0.0016764779306304612,0.00015914085851543276,-0.0009829375451738032,0.00041514343178218914,train
episode_id,s0_t1118935920200_a170,195,31,1,-0.006417979187759208,-0.01593367521011013,0.022318141676881245,0.06244529100255611,train
episode_id,s0_t1118935920200_a233,232,31,1,-0.06956602150145282,-0.253775085022745,0.07218859429993876,0.21807877859587263,train
episode_id,s0_t1118935940200_a203,248,31,1,-0.03907519567370398,-0.1494142799912555,0.02196422308024448,0.14431988808733706,train
episode_id,s0_t1118935940200_a213,220,31,1,-0.059211314517676715,-0.14842447610308276,0.1046368832215064,0.30401588660540196,train
episode_id,s0_t1118935940200_a247,211,31,1,-0.024469222995273654,-0.0655148676756753,0.014426048243538913,0.04612722165531897,train
episode_id,s0_t1118935960200_a244,110,31,1,-0.08307746213660902,-0.2872136186055416,0.167619531073168,0.5680261773534206,train
episode_id,s0_t1118935960200_a289,248,31,1,-0.033106346543491746,-0.104695037094131,0.019154404814872072,0.06234852165939943,train
episode_id,s0_t1118935960200_a317,222,31,1,-0.17449161970845684,-0.40455087070185086,0.06119750066586365,0.11767242018886634,train
episode_id,s0_t1118935980200_a208,194,31,1,-0.05465528375085064,-0.1074150480477555,0.07835378173418313,0.15831048303721407,train
episode_id,s0_t1118935980200_a319,242,31,1,-0.13316224902909476,-0.35830188754215647,0.12932867168573134,0.3075698096509488,train
episode_id,s0_t1118935980200_a323,242,31,1,-0.1619131410455717,-0.42393657482038555,0.14521785900161036,0.3605323146189679,train
episode_id,s0_t1118936000200_a272,248,31,1,-0.03731807075499566,-0.10872786095996147,0.02096237573010483,0.06010170509212981,train
episode_id,s0_t1118936000200_a300,248,31,1,-0.006163473704066841,-0.018822696689438385,0.006543096255438893,0.01628889027973168,train
episode_id,s0_t1118936000200_a310,248,31,1,0.022394857323229652,0.051512125078028013,-0.0036660773680953856,0.005761114026993298,train
episode_id,s0_t1118936020200_a356,220,31,1,-0.025767597569700193,-0.08783120042096552,0.03745589608874689,0.11010218304014185,train
episode_id,s0_t1118936020200_a369,243,31,1,-0.07776001176250792,-0.24585090767058618,0.06713167238626777,0.19567284422761932,train
episode_id,s0_t1118936020200_a371,220,31,1,-0.025584181385897097,-0.08740237252932621,0.037400319130592906,0.10972708403260792,train
episode_id,s0_t1118936040200_a350,229,31,1,-0.006711807179467721,-0.01625816074526126,0.025193183502970996,0.07790344742054987,train
episode_id,s0_t1118936040200_a356,209,31,1,-0.03579282532368673,-0.08265666284161094,0.013832268631333995,0.028844400016896265,train
episode_id,s0_t1118936040200_a372,248,31,1,-0.041001813549633774,-0.11024390550622708,0.06325998272124839,0.15786173739429604,train
episode_id,s0_t1118936060200_a272,178,29,1,-0.06380687351574102,-0.10660574031173362,0.025652105712028386,0.04032733384392152,train
episode_id,s0_t1118936060200_a404,70,31,1,-0.00018669701056260054,-0.011849465691015573,0.027157907316832236,0.07480233961241232,train
episode_id,s0_t1118936060200_a414,241,31,1,-0.044819534176564556,-0.1169145492797902,0.12284237559634158,0.30312068928224944,train
episode_id,s0_t1118936080200_a356,225,31,1,-0.11378410632448076,-0.3164838761652813,0.17399939018582403,0.42924668801228394,train
episode_id,s0_t1118936080200_a383,126,31,1,-0.14020969782791118,-0.33845660183016185,0.160666256371019,0.4296889270252917,train
episode_id,s0_t1118936080200_a391,66,31,1,-0.06953321488716539,-0.016927130651795554,0.13669160208566158,0.2855389788012708,train
episode_id,s0_t1118936100200_a323,248,31,1,-0.007179612255616125,-0.015202591401682274,0.024867051529926607,0.04805341573511786,train
episode_id,s0_t1118936100200_a334,248,31,1,-0.004686168744992293,-0.012123356480586434,0.0007124294429903165,0.0010504902906807638,train
episode_id,s0_t1118936100200_a456,102,31,1,-0.08369717023462156,-0.27749900316074366,0.11321291376441799,0.3383124464625552,train
episode_id,s0_t1118936120200_a403,205,31,1,-0.020601876176155255,-0.05474336950969138,0.04565502499856765,0.14933152030252508,train
episode_id,s0_t1118936120200_a479,186,31,1,-0.05874212247509421,-0.11440485546640831,0.06515767597448675,0.192141768915757,train
episode_id,s0_t1118936120200_a480,126,31,1,-0.05124052215379984,-0.2107910631511983,0.02849571636071239,0.10914382623567523,train
episode_id,s0_t1118936140200_a458,164,31,1,-0.07545389940705913,-0.22902615904305185,0.12082047146585166,0.2997274062111157,train
episode_id,s0_t1118936140200_a506,223,31,1,-0.18901531321413434,-0.4760480609644035,0.14282702760004923,0.2768086597253865,train
episode_id,s0_t1118936140200_a512,217,31,1,-0.06658255500760521,-0.07736855668649645,0.10436550928830204,0.20286178419064005,train
episode_id,s0_t1118936160200_a516,233,31,1,-0.11015360402700045,-0.25290173071348565,0.0845379896420032,0.1587721869170512,train
episode_id,s0_t1118936160200_a521,200,31,1,-0.14185899627703177,-0.32231697121916303,0.1562582506313521,0.3698554267733556,train
episode_id,s0_t1118936160200_a547,176,31,1,-0.12488620512022476,-0.3160951717570783,0.11600303945633376,0.2803020833285868,train
episode_id,s0_t1118936180200_a475,213,31,1,-0.09256160454993345,-0.2779851752395144,0.058915504214004114,0.16671437569534123,train
episode_id,s0_t1118936180200_a528,111,31,1,-0.07448416664502852,-0.20731816426393604,0.12300278323075979,0.34975557501616455,train
episode_id,s0_t1118936180200_a565,241,31,1,-0.16860235707361568,-0.4498003008658653,0.10608950135553818,0.2651708331090109,train
episode_id,s0_t1118936200200_a579,248,31,1,-0.000161696156211683,-0.003390329841894131,0.000260694042267125,0.004050125990477998,train
episode_id,s0_t1118936200200_a581,245,31,1,-0.11631275929380139,-0.26820791013702894,0.11207003338666739,0.26968937970759743,train
episode_id,s0_t1118936200200_a595,247,31,1,-0.019315840061673976,-0.04915891145750274,0.042218804412485336,0.12278025346390828,train
episode_id,s0_t1118936220200_a608,225,31,1,-0.011629187775509088,-0.02619484963874089,0.008193683486032012,0.021939181148434225,train
episode_id,s0_t1118936220200_a618,217,31,1,0.0005421707068069525,-0.00381432723290044,0.0006962520995272494,0.0020658790931034903,train
