horizon_steps,horizon_seconds,ADE,FDE,J,ade_scenes,fde_scenes,ade_targets,fde_targets,valid_points,total_scenes,scenes_without_supervision,ADE_point_trainrule_eval,FDE_trainrule_eval,J_trainrule_eval,ADE_point_scoreable_scenes,FDE_scoreable_scenes,fixed_complete_targets,fixed_complete_scenes,fixed_ADE,fixed_FDE,model,family,checkpoint_stage,split,snr_db
20,2.0,0.3730810601462312,0.6588937323243557,0.702527926308409,5436,5399,34342,33073,674163,5549,113,0.3662647536525777,0.6410825843970439,0.6868060458510996,0.37387842494815193,0.6588937323243557,33073,5399,0.37041927874014763,0.6588937323243557,Q_latest,Q,latest,train,15
20,2.0,0.37307089162555357,0.6588717330513106,0.7025067581512089,5436,5399,34342,33073,674163,5549,113,0.3662549349113231,0.6410611798060959,0.6867855248143712,0.37386840210134875,0.6588717330513106,33073,5399,0.3704102811219751,0.6588717330513106,Q_latest,Q,latest,train,20
20,2.0,0.5520967199329034,1.1229240665506766,1.1135587532082418,400,400,2867,2808,56693,400,0,0.5544347039822758,1.1229240665506766,1.115896737257614,0.5544347039822758,1.1229240665506766,2808,400,0.5530461824279895,1.1229240665506766,Q_latest,Q,latest,V_select,5
20,2.0,0.5520804230814044,1.122944542041926,1.1135526941023675,400,400,2867,2808,56693,400,0,0.5544135502348886,1.122944542041926,1.1158858212558513,0.5544135502348886,1.122944542041926,2808,400,0.5530251432161777,1.122944542041926,Q_latest,Q,latest,V_select,10
20,2.0,0.5520340850636384,1.1229379716044787,1.1135030708658777,400,400,2867,2808,56693,400,0,0.5543580017686207,1.1229379716044787,1.1158269875708602,0.5543580017686207,1.1229379716044787,2808,400,0.5529575550216098,1.1229379716044787,Q_latest,Q,latest,V_select,15
20,2.0,0.5520085709764804,1.1228360709965015,1.1134266064747311,400,400,2867,2808,56693,400,0,0.5543287515187814,1.1228360709965015,1.115746787017032,0.5543287515187814,1.1228360709965015,2808,400,0.5529260773586002,1.1228360709965015,Q_latest,Q,latest,V_select,20
20,2.0,0.48276928346454484,0.9236322545440169,0.9445854107365532,5436,5399,34342,33073,674163,5549,113,0.47576576066300486,0.8986647219829065,0.9250981216544579,0.4856556670196862,0.9236322545440169,33073,5399,0.48322926464225996,0.9236322545440169,A_best,A,best,train,5
20,2.0,0.48268726188615085,0.9235775621154757,0.9444760429438888,5436,5399,34342,33073,674163,5549,113,0.47567947323193027,0.8986115079944953,0.9249852272291779,0.48556758590213045,0.9235775621154757,33073,5399,0.4831326929578657,0.9235775621154757,A_best,A,best,train,10
20,2.0,0.48268233960276596,0.9235736372945432,0.9444691582500375,5436,5399,34342,33073,674163,5549,113,0.47567535083425266,0.8986076892689203,0.9249791954687128,0.4855633778107557,0.9235736372945432,33073,5399,0.48313586827088373,0.9235736372945432,A_best,A,best,train,15
20,2.0,0.48267013309794604,0.9235519696033654,0.9444461178996287,5436,5399,34342,33073,674163,5549,113,0.4756626992134095,0.8985866072965525,0.9249560028616857,0.4855504631963225,0.9235519696033654,33073,5399,0.48311959483956657,0.9235519696033654,A_best,A,best,train,20
20,2.0,0.5424939910493224,1.0967789894631619,1.0908834857809033,400,400,2867,2808,56693,400,0,0.5442559321715518,1.0967789894631619,1.0926454269031327,0.5442559321715518,1.0967789894631619,2808,400,0.5420818146975077,1.0967789894631619,A_best,A,best,V_select,5
20,2.0,0.5425416858506886,1.0968968067054106,1.090990089203394,400,400,2867,2808,56693,400,0,0.5443060763436806,1.0968968067054106,1.0927544796963857,0.5443060763436806,1.0968968067054106,2808,400,0.5421384219213539,1.0968968067054106,A_best,A,best,V_select,10
20,2.0,0.54246321488075,1.0967849885744971,1.0908557091679985,400,400,2867,2808,56693,400,0,0.544219851081257,1.0967849885744971,1.0926123453685055,0.544219851081257,1.0967849885744971,2808,400,0.5420424201284129,1.0967849885744971,A_best,A,best,V_select,15
20,2.0,0.5424474384716202,1.0966831090918148,1.0907889930175276,400,400,2867,2808,56693,400,0,0.5442008838632231,1.0966831090918148,1.0925424384091305,0.5442008838632231,1.0966831090918148,2808,400,0.5420227135300156,1.0966831090918148,A_best,A,best,V_select,20
20,2.0,0.4213595970339647,0.7812859768176745,0.8120025854428019,5436,5399,34342,33073,674163,5549,113,0.41449412669938196,0.7601663342653857,0.7945772938320748,0.4231103585457819,0.7812859768176745,33073,5399,0.4199035172101622,0.7812859768176745,A_latest,A,latest,train,5
20,2.0,0.4212751107888544,0.7811497558437004,0.8118499887107046,5436,5399,34342,33073,674163,5549,113,0.41440465790029135,0.7600337956028362,0.7944215557017095,0.42301902992802,0.7811497558437004,33073,5399,0.41980180431962755,0.7811497558437004,A_latest,A,latest,train,10
20,2.0,0.4212401875765936,0.78111874873641,0.8117995619447986,5436,5399,34342,33073,674163,5549,113,0.4143699612687966,0.7600036266764962,0.7943717746070448,0.4229836120457234,0.78111874873641,33073,5399,0.419773521572525,0.78111874873641,A_latest,A,latest,train,15
20,2.0,0.4212299696219435,0.7810948695379398,0.8117774043909134,5436,5399,34342,33073,674163,5549,113,0.4143600057687019,0.7599803929780747,0.7943502022577392,0.42297344959722716,0.7810948695379398,33073,5399,0.4197593583540799,0.7810948695379398,A_latest,A,latest,train,20
20,2.0,0.5598962213361903,1.149973985712542,1.1348832141924614,400,400,2867,2808,56693,400,0,0.5620240323793688,1.149973985712542,1.1370110252356398,0.5620240323793688,1.149973985712542,2808,400,0.5600604502409826,1.149973985712542,A_latest,A,latest,V_select,5
