model,split,episode_id,targets,off_minus_on_ADE,off_minus_on_FDE,prediction_change_mean_m,improved_ADE_targets,worsened_ADE_targets,improved_FDE_targets,worsened_FDE_targets
A_latest,train,s0_t1118936440200_a813,152,0.10828386037224368,0.31865695625923246,0.4277375699157825,53,92,42,77
A_latest,train,s0_t1118936440200_a830,205,0.19685638890183765,0.5840371144657907,0.4654666102161949,54,151,47,135
A_latest,train,s0_t1118936460200_a746,126,0.26052163436980014,0.5611938846400926,0.5470947180365329,19,85,23,79
A_latest,train,s0_t1118936460200_a864,243,0.25046822527130347,0.5483909018477382,0.777282406303863,69,174,68,162
A_latest,train,s0_t1118936460200_a869,193,0.2569300092986795,0.6031754592947993,0.7835829919059351,50,137,54,133
A_latest,train,s0_t1118936480200_a887,206,0.2656134310498751,0.702618322713021,0.62122264770874,54,118,47,111
A_latest,train,s0_t1118936480200_a894,205,0.28568612865062615,0.7341441397159493,0.6359199279452895,54,138,52,119
A_latest,train,s0_t1118936480200_a921,155,0.20701773101821222,0.5094961436571883,0.43796853790840795,36,93,38,91
A_latest,train,s0_t1118936500200_a869,248,0.1004482427813983,0.2856108365088588,0.12659004271242133,46,181,31,196
A_latest,train,s0_t1118936500200_a886,94,0.13419575177742185,0.33508416249127887,0.2893049826819906,24,33,17,40
A_latest,train,s0_t1118936500200_a939,219,0.09472303021645702,0.3098618026005134,0.23351578342325116,83,136,72,137
A_latest,train,s0_t1118936520200_a896,239,0.29590453645733106,0.7603868493813242,0.65403252255871,73,154,67,160
A_latest,train,s0_t1118936520200_a932,29,0.022142791269688294,0.126912219576428,0.2912957752123475,12,15,3,6
A_latest,train,s0_t1118936520200_a958,217,0.014931438685695088,0.04632282513468758,0.027915507309100685,86,131,90,127
A_latest,train,s0_t1118936540200_a927,234,0.07963221650207257,0.23963355165262484,0.2974537832158867,79,154,73,149
A_latest,train,s0_t1118936540200_a967,233,0.031527795968264896,0.08731130274706499,0.07717245552027319,59,174,81,148
A_latest,train,s0_t1118936540200_a1009,242,0.027630331202752274,0.07308451168357737,0.07656744662333137,91,148,80,158
A_latest,train,s0_t1118936560200_a940,169,0.23246917078791116,0.6362324007523938,0.4507159587635091,32,110,18,98
A_latest,train,s0_t1118936560200_a984,248,0.22185440697423622,0.5570236309016622,0.5356247885314177,82,166,79,169
A_latest,train,s0_t1118936560200_a1017,155,0.23062498338216006,0.6330864938007789,0.42794016614129615,35,99,32,102
A_latest,train,s0_t1118936580200_a949,130,0.13218717663190613,0.3334168356100882,0.30975451172719026,33,73,31,68
A_latest,train,s0_t1118936580200_a980,90,0.3176132026317216,0.8889704977245624,0.5896887443287091,24,60,21,57
A_latest,train,s0_t1118936580200_a1014,222,0.28564337297498005,0.7720417647390752,0.5795024389559446,69,144,61,145
A_latest,train,s0_t1118936600200_a1013,229,0.05262844641203174,0.171881730885061,0.15991057618681606,87,118,90,111
A_latest,train,s0_t1118936600200_a1051,186,0.06144688064221532,0.14056302108132923,0.2638254531838972,72,114,50,136
A_latest,train,s0_t1118936600200_a1065,229,0.0486565736570094,0.17110920336434104,0.15005452908120803,77,115,80,108
A_latest,train,s0_t1118936620200_a1030,166,0.17272972083458427,0.49907905869409547,0.4048558812610884,46,109,47,84
A_latest,train,s0_t1118936620200_a1069,155,0.1646143154935279,0.4190548752145029,0.5641617123623409,60,82,50,92
A_latest,train,s0_t1118936620200_a1074,200,0.015372065608156958,0.05477257417699599,0.0331240180185705,111,89,100,95
A_latest,train,s0_t1118936640200_a1044,248,0.092769119575273,0.27543755117553304,0.19965192040918708,79,147,76,150
A_latest,train,s0_t1118936640200_a1077,248,0.02652629813464106,0.08831703577370231,0.030780450977897177,31,217,31,217
A_latest,train,s0_t1118936640200_a1207,248,0.0786811777953947,0.24213270382995628,0.19966548943325652,88,160,77,171
A_latest,train,s0_t1118936660200_a1122,225,0.31434233273281215,0.7393520695375793,0.7346015377177133,59,160,57,154
A_latest,train,s0_t1118936660200_a1123,248,0.03543617345435477,0.08264626273832644,0.23298169881203531,97,151,100,148
A_latest,train,s0_t1118936660200_a1128,223,0.33195343172011343,0.8217700378005821,0.6941537922999984,57,165,50,165
A_latest,train,s0_t1118936680200_a1081,243,0.1281195061286932,0.3324632179055633,0.37030927756554044,86,141,80,133
A_latest,train,s0_t1118936680200_a1122,162,0.16238725892278447,0.5090373062604666,0.5140433260469617,62,100,49,95
A_latest,train,s0_t1118936680200_a1159,230,0.28863652459771705,0.6859542280732964,0.6530256084611882,66,156,63,159
A_latest,train,s0_t1118936700200_a1123,221,0.07886943549579087,0.2143513716005459,0.1913965493128519,73,111,67,113
A_latest,train,s0_t1118936700200_a1136,248,0.0820557992559127,0.24403920269836693,0.2185045768910934,97,151,110,138
A_latest,train,s0_t1118936700200_a1164,248,0.03549329887260803,0.12339055937086824,0.05192361272307725,81,167,78,170
A_latest,train,s0_t1118936720200_a1142,109,0.18872956624819595,0.7048202249276556,0.4453593360514053,32,74,18,59
A_latest,train,s0_t1118936720200_a1160,248,0.012856780939166493,0.031764658373337806,0.014741426416299698,96,152,89,159
A_latest,train,s0_t1118936720200_a1167,163,0.10856698412234748,0.19627310084852115,0.470111473340454,58,104,50,81
A_latest,train,s0_t1118936740200_a1151,162,0.18053924096305432,0.5605688707187453,0.4262276020577522,55,106,46,96
A_latest,train,s0_t1118936740200_a1186,196,0.1392765679431736,0.41420208938531383,0.3476587588371999,80,116,73,111
A_latest,train,s0_t1118936740200_a1193,186,0.018624399042952152,0.06610524032929424,0.023308257603882037,31,155,73,113
A_latest,train,s0_t1118936760200_a1160,7,0.031217800949954765,,0.40757725707122255,1,4,0,0
A_latest,train,s0_t1118936760200_a1176,202,0.07923113623066093,0.21228577294130974,0.25380098895294567,65,135,59,139
A_latest,train,s0_t1118936760200_a1210,194,0.08442141352836256,0.2195958416793065,0.268696846877442,54,138,52,138
A_latest,train,s0_t1118936780200_a1187,78,0.10226744938916238,0.2475376450202122,0.33753941786021757,25,39,22,41
A_latest,train,s0_t1118936780200_a1190,106,0.0990223394536586,0.27778350841942256,0.4539983901985974,38,65,27,59
A_latest,train,s0_t1118936780200_a1191,120,0.05020038157479063,0.11276983801135174,0.4210483128981044,50,61,43,54
A_latest,train,s1_t1118936820200_a1273,225,0.05807192327830317,0.18185075141163978,0.1220717938650988,99,125,81,119
A_latest,train,s1_t1118936820200_a1304,248,-0.010439381476264435,-0.03709938917789945,0.05643308919996109,106,142,127,121
A_latest,train,s1_t1118936820200_a1340,245,0.30335175008638227,0.7134545114093032,0.6177760143357457,72,173,72,169
A_latest,train,s1_t1118936840200_a1304,203,0.0276501397203781,0.0782474457116992,0.06659025521660762,62,141,64,131
