model,split,snr_db,horizon_steps,ADE,FDE,aligned_targets
G_best,V_select,15,20,0.5502027495415301,1.1183016262259198,2808
A_best,V_select,15,20,0.54246321488075,1.0967849885744971,2808
CV_ref,V_select,20,5,0.17103766502495296,0.3085911907485138,2853
CV_hat,V_select,20,5,0.17632145886255493,0.31361468315243807,2853
Q_best,V_select,20,5,0.1473769491171959,0.25245568534049867,2853
G_best,V_select,20,5,0.14769029347951096,0.2513858158337881,2853
A_best,V_select,20,5,0.14685803018307284,0.25024755682592764,2853
CV_ref,V_select,20,10,0.3585664155333748,0.7174192721895761,2840
CV_hat,V_select,20,10,0.36369484405765734,0.7224073400442379,2840
Q_best,V_select,20,10,0.27486769801797467,0.5047788604380495,2840
G_best,V_select,20,10,0.2750501483662028,0.5104252264152568,2840
A_best,V_select,20,10,0.2733025942877104,0.5049459589956471,2840
CV_ref,V_select,20,20,0.8066325193070806,1.7595030217681304,2808
CV_hat,V_select,20,20,0.8118706579140544,1.7654478068101707,2808
Q_best,V_select,20,20,0.5427164286244482,1.0952996413802445,2808
G_best,V_select,20,20,0.5502084620966947,1.1182755197850205,2808
A_best,V_select,20,20,0.5424474384716202,1.0966831090918148,2808
