split,snr_db,horizon_steps,horizon_seconds,aligned_targets,vector_identity_max_abs_error,position_estimation_error_m,velocity_estimation_error_mps,A_norm_m,B_norm_m,C_norm_m,CV_hat_residual_norm_m,model,final_residual_identity_max_abs_error,model_correction_norm_m,model_residual_norm_m
train,10,20,2.0,33073,,,,,,,,G_best,1.7763568394002505e-15,"{""count"": 33073, ""mean"": 1.6745812099480704, ""median"": 0.705025109252039, ""p90"": 4.705140164012067, ""p99"": 8.956181132153738}","{""count"": 33073, ""mean"": 0.8764452427505893, ""median"": 0.4687816602506606, ""p90"": 2.2776071027126124, ""p99"": 5.5731594819780375}"
train,10,20,2.0,33073,,,,,,,,A_best,1.7763568394002505e-15,"{""count"": 33073, ""mean"": 1.6275606900356576, ""median"": 0.6732750192729892, ""p90"": 4.577338661708419, ""p99"": 8.679407073558552}","{""count"": 33073, ""mean"": 0.9006065278129638, ""median"": 0.49321993562802074, ""p90"": 2.333659730543503, ""p99"": 5.757338804969105}"
train,15,5,0.5,34083,4.440892098500626e-16,"{""count"": 34083, ""mean"": 0.009794926476999574, ""median"": 0.009942020222838788, ""p90"": 0.014581093457214507, ""p99"": 0.017831877429883704}","{""count"": 34083, ""mean"": 0.006464134084155531, ""median"": 0.006982835632103788, ""p90"": 0.013591888011194733, ""p99"": 0.017573264975243755}","{""count"": 34083, ""mean"": 0.009794926476999574, ""median"": 0.009942020222838788, ""p90"": 0.014581093457214507, ""p99"": 0.017831877429883704}","{""count"": 34083, ""mean"": 0.0032320670420777657, ""median"": 0.003491417816051894, ""p90"": 0.006795944005597366, ""p99"": 0.008786632487621878}","{""count"": 34083, ""mean"": 0.3261396021458798, ""median"": 0.10329698399769535, ""p90"": 0.9636252087296769, ""p99"": 2.3943319551098}","{""count"": 34083, ""mean"": 0.3300551962303463, ""median"": 0.10341186447954304, ""p90"": 0.9659892619037961, ""p99"": 2.392301074664079}",,,,
train,15,5,0.5,34083,,,,,,,,Q_best,4.440892098500626e-16,"{""count"": 34083, ""mean"": 0.2458715571281975, ""median"": 0.08541754943003323, ""p90"": 0.666064397139767, ""p99"": 1.9338669720376818}","{""count"": 34083, ""mean"": 0.22160357157838245, ""median"": 0.10393387917527395, ""p90"": 0.6023566986181743, ""p99"": 1.5004166532728678}"
train,15,5,0.5,34083,,,,,,,,G_best,4.440892098500626e-16,"{""count"": 34083, ""mean"": 0.22862978337305284, ""median"": 0.07633169211913893, ""p90"": 0.6000624034045325, ""p99"": 1.8593172342480486}","{""count"": 34083, ""mean"": 0.23205445776891095, ""median"": 0.10661269070274267, ""p90"": 0.6332611716376101, ""p99"": 1.568268160026292}"
train,15,5,0.5,34083,,,,,,,,A_best,4.440892098500626e-16,"{""count"": 34083, ""mean"": 0.2187793648254242, ""median"": 0.07326710711082367, ""p90"": 0.5785769328979903, ""p99"": 1.7829785748302862}","{""count"": 34083, ""mean"": 0.23942029261678247, ""median"": 0.11140674963316864, ""p90"": 0.6573337621334091, ""p99"": 1.5843493366202777}"
train,15,10,1.0,33745,8.881784197001252e-16,"{""count"": 33745, ""mean"": 0.009791154070178526, ""median"": 0.00993923316616961, ""p90"": 0.014575329268269948, ""p99"": 0.017827408281929524}","{""count"": 33745, ""mean"": 0.006431582724035903, ""median"": 0.006936068825619851, ""p90"": 0.013579812334167404, ""p99"": 0.017566511788712626}","{""count"": 33745, ""mean"": 0.009791154070178526, ""median"": 0.00993923316616961, ""p90"": 0.014575329268269948, ""p99"": 0.017827408281929524}","{""count"": 33745, ""mean"": 0.006431582724035903, ""median"": 0.006936068825619851, ""p90"": 0.013579812334167404, ""p99"": 0.017566511788712626}","{""count"": 33745, ""mean"": 0.7732491153316421, ""median"": 0.3271695603919446, ""p90"": 2.1634875209353637, ""p99"": 4.725416586215859}","{""count"": 33745, ""mean"": 0.7769295939232448, ""median"": 0.3282377007688925, ""p90"": 2.161314412688638, ""p99"": 4.72496657872918}",,,,
train,15,10,1.0,33745,,,,,,,,Q_best,8.881784197001252e-16,"{""count"": 33745, ""mean"": 0.6658330671756697, ""median"": 0.2588711315190412, ""p90"": 1.8453963435992082, ""p99"": 4.219270520524249}","{""count"": 33745, ""mean"": 0.3941356411488317, ""median"": 0.20779081784820347, ""p90"": 1.0260713084782238, ""p99"": 2.4950568297401188}"
train,15,10,1.0,33745,,,,,,,,G_best,8.881784197001252e-16,"{""count"": 33745, ""mean"": 0.6272508475050247, ""median"": 0.24337547808796098, ""p90"": 1.709601186971563, ""p99"": 4.222566219798964}","{""count"": 33745, ""mean"": 0.43604430914630427, ""median"": 0.22531704401071584, ""p90"": 1.1480889244233892, ""p99"": 2.776621834353032}"
train,15,10,1.0,33745,,,,,,,,A_best,8.881784197001252e-16,"{""count"": 33745, ""mean"": 0.6076553796776717, ""median"": 0.23603224175218676, ""p90"": 1.6495493033801227, ""p99"": 4.082715923789043}","{""count"": 33745, ""mean"": 0.44934729233622994, ""median"": 0.23321775794710103, ""p90"": 1.1952768314244553, ""p99"": 2.7816853267951367}"
