kind,scene_type,scene,snr_ref_db,target,bs,range_bin,received_snr_db,peak_to_noise_db,g_emp_db,gt_rd_snr_db,peak_power,noise_floor,cfar_score
detection,synthetic,count3_r280_norm_b65,20.0,0,2,75-150,14.33702754588052,25.68845503203321,11.35142748615269,,27360.151284778844,73.83682118703695,30.177330924504055
input,synthetic,count3_r280_norm_b65,20.0,1,2,75-150,16.128470618282865,,,,,,
detection,synthetic,count3_r280_norm_b65,20.0,1,2,75-150,16.128470618282865,25.196482828222532,9.068012209939667,,40497.567107395575,122.39978386322885,26.94533609315037
input,synthetic,count3_r280_norm_b65,20.0,2,2,75-150,17.932667125903347,,,,,,
detection,synthetic,count3_r280_norm_b65,20.0,2,2,75-150,17.932667125903347,25.101599022582043,7.168931896678696,,61168.038747012135,188.95772587406424,26.363023964175174
input,synthetic,count5_r40_norm_b0,-5.0,0,0,10-75,5.7640288494978105,,,,,,
detection,synthetic,count5_r40_norm_b0,-5.0,0,0,10-75,5.7640288494978105,23.215988570709804,17.451959721211992,,6572.888461706534,31.34421557076353,17.07788871523677
input,synthetic,count5_r40_norm_b0,-5.0,1,0,10-75,9.315898645964118,,,,,,
detection,synthetic,count5_r40_norm_b0,-5.0,1,0,10-75,9.315898645964118,13.227470046849486,3.911571400885368,,16804.60224069398,799.2474008785996,1.71230973920216
input,synthetic,count5_r40_norm_b0,-5.0,2,0,10-75,10.917600346881503,,,,,,
detection,synthetic,count5_r40_norm_b0,-5.0,2,0,10-75,10.917600346881503,10.340428462702542,-0.577171884178961,,12057.423323239003,1114.83774076305,0.8808017491902339
input,synthetic,count5_r40_norm_b0,-5.0,3,0,10-75,9.315898645964118,,,,,,
input,synthetic,count5_r40_norm_b0,-5.0,4,0,10-75,5.7640288494978105,,,,,,
input,synthetic,count5_r40_norm_b0,-5.0,0,1,150-225,-16.97746532693069,,,,,,
detection,synthetic,count5_r40_norm_b0,-5.0,0,1,150-225,-16.97746532693069,19.79392728862141,36.7713926155521,,18.662730720152794,0.1956962307521353,7.766548363769964
input,synthetic,count5_r40_norm_b0,-5.0,1,1,150-225,-15.853253005273473,,,,,,
detection,synthetic,count5_r40_norm_b0,-5.0,1,1,150-225,-15.853253005273473,21.050985358294227,36.9042383635677,,25.86484132341573,0.20305387536862124,10.373704147608079
input,synthetic,count5_r40_norm_b0,-5.0,2,1,150-225,-14.746806037788392,,,,,,
detection,synthetic,count5_r40_norm_b0,-5.0,2,1,150-225,-14.746806037788392,21.021694790429155,35.76850082821755,,33.09913604790185,0.2616056858798051,10.303975116131967
input,synthetic,count5_r40_norm_b0,-5.0,3,1,150-225,-13.688066930222972,,,,,,
detection,synthetic,count5_r40_norm_b0,-5.0,3,1,150-225,-13.688066930222972,21.17873208024418,34.866799010467155,,41.007289861896716,0.31259919841817424,10.683376408044069
input,synthetic,count5_r40_norm_b0,-5.0,4,1,150-225,-12.716766980632277,,,,,,
detection,synthetic,count5_r40_norm_b0,-5.0,4,1,150-225,-12.716766980632277,22.45257425260928,35.16934123324156,,51.604380784116294,0.29337908242124894,14.32493788314348
input,synthetic,count5_r40_norm_b0,0.0,0,0,10-75,10.76402884949781,,,,,,
detection,synthetic,count5_r40_norm_b0,0.0,0,0,10-75,10.76402884949781,23.24164643258836,12.47761758309055,,20782.406917636363,98.52154204999755,17.179082503779263
input,synthetic,count5_r40_norm_b0,0.0,1,0,10-75,14.315898645964118,,,,,,
detection,synthetic,count5_r40_norm_b0,0.0,1,0,10-75,14.315898645964118,13.222133577249968,-1.0937650687141502,,53107.568261515575,2528.966393895396,1.710207000737876
input,synthetic,count5_r40_norm_b0,0.0,2,0,10-75,15.917600346881503,,,,,,
detection,synthetic,count5_r40_norm_b0,0.0,2,0,10-75,15.917600346881503,10.34678116481757,-5.570819182063934,,38159.30863876906,3523.078995586134,0.8820910968081661
input,synthetic,count5_r40_norm_b0,0.0,3,0,10-75,14.315898645964118,,,,,,
input,synthetic,count5_r40_norm_b0,0.0,4,0,10-75,10.76402884949781,,,,,,
input,synthetic,count5_r40_norm_b0,0.0,0,1,150-225,-11.97746532693069,,,,,,
detection,synthetic,count5_r40_norm_b0,0.0,0,1,150-225,-11.97746532693069,22.142984847597702,34.12045017452839,,59.083043919084076,0.36071514501081636,13.339323558501551
input,synthetic,count5_r40_norm_b0,0.0,1,1,150-225,-10.853253005273473,,,,,,
detection,synthetic,count5_r40_norm_b0,0.0,1,1,150-225,-10.853253005273473,23.881938536276305,34.73519154154978,,82.70880364923485,0.33834353722389365,19.908070763964215
input,synthetic,count5_r40_norm_b0,0.0,2,1,150-225,-9.746806037788392,,,,,,
detection,synthetic,count5_r40_norm_b0,0.0,2,1,150-225,-9.746806037788392,23.26033388213128,33.00713991991967,,103.99580643802986,0.49088802612761145,17.253162405019996
input,synthetic,count5_r40_norm_b0,0.0,3,1,150-225,-8.688066930222972,,,,,,
detection,synthetic,count5_r40_norm_b0,0.0,3,1,150-225,-8.688066930222972,22.9442829191277,31.632349849350675,,128.66651267888346,0.6531865572715184,16.042188461777773
