model,samples,snr_ref_db,dvr_mps,bearing_split_deg,realization,n_detections,matched_targets,ghost_count,merged,range_median_abs_m,xy_median_m
B64,64,10.0,5.0,1.0,23,2,1,1,True,0.1413325666860601,1.1374981206441344
E0,256,10.0,5.0,1.0,24,3,2,1,False,0.0034813908890356515,0.01696666730782774
B64,64,10.0,5.0,1.0,24,1,1,0,True,0.09539793895558546,0.7392714964570337
E0,256,10.0,5.0,1.0,25,3,2,1,False,0.004230942178438113,0.032129567501243225
B64,64,10.0,5.0,1.0,25,4,2,2,False,0.13707129833181853,1.286694579114032
E0,256,10.0,5.0,1.0,26,2,2,0,False,0.009062322014884217,0.08029496915658618
B64,64,10.0,5.0,1.0,26,2,1,1,True,0.14089734408864274,1.1368321909063595
E0,256,10.0,5.0,1.0,27,2,2,0,False,0.0014475257831350063,0.015811786679518897
B64,64,10.0,5.0,1.0,27,1,1,0,True,0.11451145104456373,0.9083211046941252
E0,256,10.0,5.0,1.0,28,2,2,0,False,0.009321241932369162,0.07127073955554172
B64,64,10.0,5.0,1.0,28,2,1,1,True,0.1391141989079756,1.1433504902127827
E0,256,10.0,5.0,1.0,29,3,2,1,False,0.0019199637946769599,0.020231466640514333
B64,64,10.0,5.0,1.0,29,1,1,0,True,0.10156248471099616,0.7947215367154824
E0,256,10.0,5.0,1.0,30,2,2,0,False,0.0014517486113732048,0.012994141819811046
B64,64,10.0,5.0,1.0,30,1,1,0,True,0.12452591803690893,1.0110832820165063
E0,256,10.0,5.0,1.0,31,2,2,0,False,0.008520335473448881,0.06983591242159562
B64,64,10.0,5.0,1.0,31,2,1,1,True,0.13984977952077315,1.1434440090052984
E0,256,10.0,5.0,2.0,0,2,2,0,False,0.003445953863121076,0.09773279603580376
B64,64,10.0,5.0,2.0,0,1,1,0,True,0.11292646196309875,3.03081107293797
E0,256,10.0,5.0,2.0,1,2,2,0,False,0.0005403736120968006,0.0641122567299298
