ambiguity_margin_m,assigned_error_m,assigned_gt_id,density,detected,episode,frame,nearest_error_m,nearest_gt_id,origin_ms,second_nearest_error_m,slot,slot_rebirth_in_window,snr_db,tail_cause,visible_gt_count
0.4924,1.4533,1070,high,True,149,124,0.9609,1081,1118936694600,1.4533,4,False,10,ambiguous_close_vehicle,8
0.4676,1.4466,211,high,True,41,59,0.979,220,1118935967600,1.4466,3,False,10,ambiguous_close_vehicle,3
0.6855,4.3049,15,high,True,5,27,2.4688,4,1118935723600,3.1543,3,True,10,true_tracking_tail,8
0.9985,4.1487,4,high,True,5,12,2.625,15,1118935723100,3.6235,6,True,10,true_tracking_tail,8
0.4305,4.1023,15,high,True,5,25,2.6797,4,1118935723600,3.1103,3,True,10,true_tracking_tail,8
4.3347,16.0378,63,high,True,10,88,0.9811,57,1118935749100,5.3157,1,True,10,unresolved,7
1.5571,14.6902,24,high,True,8,118,0.58,18,1118935752100,2.1371,0,True,10,unresolved,8
3.571,7.617,31,high,True,13,82,0.7657,86,1118935768600,4.3367,1,True,10,unresolved,8
160.3594,3.998,8,low,False,6,63,3.998,8,1118935726600,164.3574,4,True,10,true_tracking_tail,3
158.5728,3.1387,8,low,False,6,62,3.1387,8,1118935726600,161.7115,4,True,10,true_tracking_tail,3
30.706,2.8265,1191,low,False,164,45,2.8265,1191,1118936785600,33.5325,2,False,10,true_tracking_tail,3
3.1946,10.6066,479,mid,False,66,14,0.4667,470,1118936123600,3.6613,3,True,10,alignment_suspect,6
5.0649,5.7998,604,mid,False,82,20,0.4238,614,1118936223600,5.4887,4,True,10,alignment_suspect,6
4.9277,5.2514,604,mid,False,82,82,0.3237,615,1118936230100,5.2514,2,False,10,alignment_suspect,6
2.6341,2.4842,8,mid,False,2,106,2.4842,8,1118935711100,5.1183,1,False,10,true_tracking_tail,5
2.6341,2.4842,8,mid,False,2,106,2.4842,8,1118935711600,5.1183,1,False,10,true_tracking_tail,5
1.4163,2.4367,2,mid,False,2,88,1.0204,8,1118935709100,2.4367,2,False,10,true_tracking_tail,5
1.6854,11.0803,604,mid,False,82,83,0.9747,622,1118936228600,2.6601,7,True,10,unresolved,6
5.0949,6.2127,614,mid,False,82,103,0.9232,604,1118936230600,6.0181,0,True,10,unresolved,6
3.9878,5.7996,473,mid,False,66,171,0.8872,470,1118936137600,4.875,1,True,10,unresolved,6
3.3584,7.719,1190,mid,True,160,68,0.2211,1185,1118936747100,3.5795,2,True,10,alignment_suspect,6
3.0046,7.5692,1185,mid,True,160,83,0.442,1190,1118936748600,3.4466,0,True,10,alignment_suspect,6
3.0741,6.8027,479,mid,True,66,27,0.269,473,1118936123100,3.3431,6,True,10,alignment_suspect,6
