condition,miss_probability,false_alarm_rate,snr_db,method,association_f1,track_decision_accuracy,identity_f1,id_switches,id_switches_per_1000_detections,position_rmse_m
miss_0.10__far_1.00,0.1,1.0,5,gated_hungarian_ekf_legacy,0.9685314685314685,0.9588607594936709,0.9322766570605188,58,84.9194729136164,1.1656171365264774
miss_0.10__far_1.00,0.1,1.0,5,gated_hungarian_ekf,0.9759770527070635,0.9607594936708861,0.9784065524944155,3,4.392386530014641,0.6147415681060421
miss_0.10__far_1.00,0.1,1.0,5,edge_mlp,0.9929128277817152,0.9886075949367089,0.998533724340176,0,0.0,0.6079174845362414
miss_0.10__far_1.00,0.1,1.0,5,association_gnn,0.995049504950495,0.9924050632911392,0.9992673992673992,0,0.0,0.608739363558237
miss_0.10__far_1.00,0.1,1.0,10,gated_hungarian_ekf_legacy,0.9762237762237762,0.9664556962025317,0.9105454545454544,72,106.35155096011817,1.7927452871364151
miss_0.10__far_1.00,0.1,1.0,10,gated_hungarian_ekf,0.98022294138799,0.9651898734177216,0.9681335356600911,3,4.431314623338257,0.5523465463052517
miss_0.10__far_1.00,0.1,1.0,10,edge_mlp,0.9968164131588256,0.9943037974683544,0.9955686853766618,3,4.431314623338257,0.5206498501695249
miss_0.10__far_1.00,0.1,1.0,10,association_gnn,0.9985855728429985,0.9974683544303797,0.9963045084996305,2,2.9542097488921715,0.5166731787657857
miss_0.10__far_1.00,0.1,1.0,15,gated_hungarian_ekf_legacy,0.9762237762237762,0.9664556962025317,0.9474442044636429,43,62.5,1.615697342667533
miss_0.10__far_1.00,0.1,1.0,15,gated_hungarian_ekf,0.9802087081684059,0.9651898734177216,0.9779086892488955,6,8.720930232558139,0.5248764964068908
miss_0.10__far_1.00,0.1,1.0,15,edge_mlp,0.997523876901309,0.9955696202531645,0.9978181818181817,1,1.4534883720930232,0.4787241903367217
miss_0.10__far_1.00,0.1,1.0,15,association_gnn,0.9985855728429985,0.9974683544303797,0.9992727272727273,0,0.0,0.48081078258660936
miss_0.10__far_1.00,0.1,1.0,20,gated_hungarian_ekf_legacy,0.9776223776223776,0.9689873417721518,0.8968023255813953,81,119.46902654867256,1.956988814053629
miss_0.10__far_1.00,0.1,1.0,20,gated_hungarian_ekf,0.9772316588362849,0.960126582278481,0.9789473684210527,1,1.4749262536873156,0.44627594593499803
miss_0.10__far_1.00,0.1,1.0,20,edge_mlp,1.0,1.0,0.9992619926199262,0,0.0,0.40066872731177133
miss_0.10__far_1.00,0.1,1.0,20,association_gnn,1.0,1.0,1.0,0,0.0,0.40035252495889734
miss_0.10__far_3.00,0.1,3.0,5,gated_hungarian_ekf_legacy,0.9263950701814447,0.9012658227848102,0.8800567778566359,106,155.19765739385065,1.2951870587690142
miss_0.10__far_3.00,0.1,3.0,5,gated_hungarian_ekf,0.9610108303249097,0.9379746835443038,0.9739389426656739,6,8.784773060029282,0.6235626874744179
miss_0.10__far_3.00,0.1,3.0,5,edge_mlp,0.9925611052072263,0.9879746835443038,0.998533724340176,0,0.0,0.6082929172489069
miss_0.10__far_3.00,0.1,3.0,5,association_gnn,0.9939823008849556,0.990506329113924,0.9985358711566618,1,1.4641288433382138,0.6011259314158267
miss_0.10__far_3.00,0.1,3.0,10,gated_hungarian_ekf_legacy,0.937350222526532,0.9126582278481012,0.7903340440653873,174,257.0162481536189,2.7718667053535735
