origin,slot,all_ADE_rank,moving_ADE_rank,passes_motion,true_displacement_2s_m,average_displacement_speed_mps,valid_future_frames,qgnn_ADE,qgnn_FDE,gnn_ADE,gnn_FDE
394,7,78,,False,0.0,0.0,20,0.004952006414532662,0.0024974362459033728,0.005215966328978539,0.004412314388900995
398,7,79,,False,0.0,0.0,20,0.004973863065242767,0.0024948427453637123,0.004344307258725167,0.0033466978929936886
382,3,80,,False,0.012834215594261551,0.0064171077971307755,20,0.005016946792602539,0.011035798117518425,0.008274640887975693,0.01821780763566494
167,2,81,,False,0.04358746572121791,0.021793732860608955,20,0.005046694353222847,0.011537455953657627,0.0036157939583063127,0.001495361328125
141,1,82,,False,0.0,0.0,20,0.005059432983398437,0.006521753966808319,0.004553786665201187,0.009262753650546074
309,2,83,,False,0.0,0.0,20,0.0051506530493497845,0.004575109574943781,0.003971090912818909,0.0014175287215039134
310,2,84,,False,0.0,0.0,20,0.0051520392298698425,0.004620746243745089,0.0040170010179281235,0.0014358016196638346
311,2,85,,False,0.0,0.0,20,0.005152245983481407,0.0046209474094212055,0.004018652439117432,0.0014209251385182142
312,2,86,,False,0.0,0.0,20,0.0051527291536331175,0.0046211061999201775,0.004022273048758507,0.0014053418999537826
313,2,87,,False,0.0,0.0,20,0.005152833834290505,0.00462879566475749,0.004023855924606324,0.0013953872257843614
317,2,88,,False,0.0,0.0,20,0.005153455585241318,0.004629556555300951,0.004021166637539863,0.0013635074719786644
316,2,89,,False,0.0,0.0,20,0.005153568834066391,0.004629289265722036,0.004025557264685631,0.0013700901763513684
314,2,90,,False,0.0,0.0,20,0.0051537279039621355,0.004629051312804222,0.004020609334111214,0.0013953614979982376
319,2,91,,False,0.0,0.0,20,0.005153778195381165,0.004629854578524828,0.0040274571627378465,0.001339030684903264
318,2,92,,False,0.0,0.0,20,0.005154404044151306,0.004629754461348057,0.00402381420135498,0.0013510603457689285
315,2,93,,False,0.0,0.0,20,0.005154437199234962,0.004629241302609444,0.004023873433470726,0.0013727956684306264
308,2,94,,False,0.0,0.0,20,0.005176675692200661,0.0031681698746979237,0.004240039363503456,0.0021465106401592493
306,2,95,,False,0.0,0.0,20,0.005183034762740135,0.0024437482934445143,0.0046748541295528415,0.0013095930917188525
389,7,96,,False,0.0,0.0,20,0.00524149127304554,0.005281925201416016,0.010814572870731353,0.013412687927484512
19,5,97,,False,0.11797177589238289,0.058985887946191445,20,0.0052468903362751,0.00972596462816,0.0050081625580787655,0.007589885964989662
124,5,98,,False,0.0,0.0,20,0.005267329141497612,0.0031904333736747503,0.0067152842879295346,0.010240246541798115
125,5,99,,False,0.0,0.0,20,0.005268764868378639,0.0032052542082965374,0.0067106403410434725,0.010228321887552738
364,2,100,,False,0.0364666164396668,0.0182333082198334,20,0.005275316163897514,0.008173058740794659,0.00566944032907486,0.010928386822342873
126,5,101,,False,0.0,0.0,20,0.0052757013589143755,0.003219371661543846,0.006694058328866959,0.010181923396885395
123,5,102,,False,0.0,0.0,20,0.0052768182009458545,0.0031717494130134583,0.006652333587408066,0.010155944153666496
156,3,103,,False,0.0,0.0,20,0.005278974398970604,0.0005678015295416117,0.00843510553240776,0.011575025506317616
127,5,104,,False,0.0,0.0,20,0.005279451236128807,0.0032141697593033314,0.0062833912670612335,0.010183965787291527
120,5,105,,False,0.0,0.0,20,0.005279920622706413,0.003166159149259329,0.006656289845705032,0.010039766319096088
