================================================================================
📡 SNR ROBUSTNESS | Target SNR: 20dB | Grid: 121 | Smooth: 3 | Temp: 0.06
[Cache] loaded localized trajectories from ./logs/localized_cache_dataset_lankershim_v3_localize_snr20_g121_s3_t0p06_e1_sl72_pl20.npz
[SoftToken] Global Uncertainty Calibration (train-only): low=0.6424, high=0.7810

[gpt2_soft_snr20] Params: 84,833,003 | Trainable: 2,920,427
[gpt2_soft_snr20] Ep  62/100 [305s] Loss=0.2115/1.1655 | Train_ADE=0.561m | Val_ADE=0.794m FDE=1.220m (best=0.785) | S1=0.313m S5=0.608m S10=0.743m S15=0.969m S20=1.220m | L_cls=0.202 L_reg=0.0009 | Acc=90.75%/66.58%
[gpt2_soft_snr20] Ep  63/100 [308s] Loss=0.2114/1.1727 | Train_ADE=0.560m | Val_ADE=0.800m FDE=1.228m (best=0.785) | S1=0.303m S5=0.612m S10=0.741m S15=0.989m S20=1.228m | L_cls=0.202 L_reg=0.0009 | Acc=90.73%/66.57%
[gpt2_soft_snr20] Ep  64/100 [313s] Loss=0.2110/1.1554 | Train_ADE=0.559m | Val_ADE=0.785m FDE=1.217m (best=0.785) | S1=0.287m S5=0.602m S10=0.734m S15=0.963m S20=1.217m | L_cls=0.202 L_reg=0.0009 | Acc=90.76%/67.21%
[gpt2_soft_snr20] Ep  65/100 [307s] Loss=0.2105/1.1381 | Train_ADE=0.559m | Val_ADE=0.804m FDE=1.260m (best=0.785) | S1=0.275m S5=0.599m S10=0.758m S15=0.998m S20=1.260m | L_cls=0.201 L_reg=0.0009 | Acc=90.76%/67.33%
[gpt2_soft_snr20] Ep  66/100 [312s] Loss=0.2104/1.1429 | Train_ADE=0.557m | Val_ADE=0.775m FDE=1.202m (best=0.775) | S1=0.281m S5=0.587m S10=0.730m S15=0.956m S20=1.202m | L_cls=0.201 L_reg=0.0009 | Acc=90.77%/67.35%
[gpt2_soft_snr20] Ep  67/100 [306s] Loss=0.2100/1.1696 | Train_ADE=0.557m | Val_ADE=0.800m FDE=1.233m (best=0.775) | S1=0.298m S5=0.615m S10=0.751m S15=0.979m S20=1.233m | L_cls=0.201 L_reg=0.0009 | Acc=90.78%/66.53%
[gpt2_soft_snr20] Ep  68/100 [307s] Loss=0.2102/1.1662 | Train_ADE=0.557m | Val_ADE=0.794m FDE=1.227m (best=0.775) | S1=0.297m S5=0.611m S10=0.742m S15=0.980m S20=1.227m | L_cls=0.201 L_reg=0.0009 | Acc=90.79%/66.82%
[gpt2_soft_snr20] Ep  69/100 [307s] Loss=0.2109/1.1714 | Train_ADE=0.559m | Val_ADE=0.789m FDE=1.208m (best=0.775) | S1=0.284m S5=0.610m S10=0.741m S15=0.971m S20=1.208m | L_cls=0.202 L_reg=0.0009 | Acc=90.74%/66.15%
[gpt2_soft_snr20] Ep  70/100 [308s] Loss=0.2095/1.1387 | Train_ADE=0.554m | Val_ADE=0.780m FDE=1.211m (best=0.775) | S1=0.291m S5=0.585m S10=0.740m S15=0.960m S20=1.211m | L_cls=0.200 L_reg=0.0009 | Acc=90.80%/66.98%
[gpt2_soft_snr20] Ep  71/100 [309s] Loss=0.2095/1.1396 | Train_ADE=0.552m | Val_ADE=0.819m FDE=1.215m (best=0.775) | S1=0.321m S5=0.633m S10=0.767m S15=1.004m S20=1.215m | L_cls=0.200 L_reg=0.0009 | Acc=90.79%/67.10%
[gpt2_soft_snr20] Ep  72/100 [311s] Loss=0.2091/1.1420 | Train_ADE=0.551m | Val_ADE=0.769m FDE=1.197m (best=0.769) | S1=0.270m S5=0.585m S10=0.722m S15=0.950m S20=1.197m | L_cls=0.200 L_reg=0.0009 | Acc=90.80%/66.86%
[gpt2_soft_snr20] Ep  73/100 [309s] Loss=0.2093/1.1540 | Train_ADE=0.552m | Val_ADE=0.782m FDE=1.212m (best=0.769) | S1=0.280m S5=0.598m S10=0.731m S15=0.962m S20=1.212m | L_cls=0.200 L_reg=0.0009 | Acc=90.80%/66.93%
[gpt2_soft_snr20] Ep  74/100 [308s] Loss=0.2089/1.1165 | Train_ADE=0.551m | Val_ADE=0.785m FDE=1.188m (best=0.769) | S1=0.306m S5=0.606m S10=0.739m S15=0.961m S20=1.188m | L_cls=0.200 L_reg=0.0009 | Acc=90.80%/67.52%
[gpt2_soft_snr20] Ep  75/100 [307s] Loss=0.2086/1.1241 | Train_ADE=0.550m | Val_ADE=0.782m FDE=1.205m (best=0.769) | S1=0.290m S5=0.590m S10=0.742m S15=0.961m S20=1.205m | L_cls=0.200 L_reg=0.0009 | Acc=90.80%/67.44%
[gpt2_soft_snr20] Ep  76/100 [306s] Loss=0.2084/1.1429 | Train_ADE=0.547m | Val_ADE=0.783m FDE=1.196m (best=0.769) | S1=0.294m S5=0.613m S10=0.729m S15=0.957m S20=1.196m | L_cls=0.199 L_reg=0.0009 | Acc=90.82%/67.40%
[gpt2_soft_snr20] Ep  77/100 [307s] Loss=0.2079/1.1372 | Train_ADE=0.543m | Val_ADE=0.789m FDE=1.190m (best=0.769) | S1=0.312m S5=0.616m S10=0.738m S15=0.964m S20=1.190m | L_cls=0.199 L_reg=0.0009 | Acc=90.84%/67.01%
[gpt2_soft_snr20] Ep  78/100 [308s] Loss=0.2080/1.1482 | Train_ADE=0.545m | Val_ADE=0.785m FDE=1.198m (best=0.769) | S1=0.294m S5=0.614m S10=0.744m S15=0.955m S20=1.198m | L_cls=0.199 L_reg=0.0009 | Acc=90.83%/67.21%
[gpt2_soft_snr20] Ep  79/100 [306s] Loss=0.2079/1.1674 | Train_ADE=0.546m | Val_ADE=0.772m FDE=1.184m (best=0.769) | S1=0.283m S5=0.590m S10=0.719m S15=0.948m S20=1.184m | L_cls=0.199 L_reg=0.0009 | Acc=90.83%/66.27%
[gpt2_soft_snr20] Ep  80/100 [306s] Loss=0.2075/1.1338 | Train_ADE=0.542m | Val_ADE=0.796m FDE=1.212m (best=0.769) | S1=0.301m S5=0.612m S10=0.741m S15=0.971m S20=1.212m | L_cls=0.199 L_reg=0.0009 | Acc=90.84%/66.84%
[gpt2_soft_snr20] Ep  81/100 [307s] Loss=0.2073/1.1713 | Train_ADE=0.540m | Val_ADE=0.790m FDE=1.203m (best=0.769) | S1=0.286m S5=0.610m S10=0.748m S15=0.965m S20=1.203m | L_cls=0.198 L_reg=0.0009 | Acc=90.85%/66.44%
[gpt2_soft_snr20] Ep  82/100 [313s] Loss=0.2067/1.1633 | Train_ADE=0.541m | Val_ADE=0.767m FDE=1.182m (best=0.767) | S1=0.280m S5=0.583m S10=0.726m S15=0.940m S20=1.182m | L_cls=0.198 L_reg=0.0009 | Acc=90.85%/66.27%
[gpt2_soft_snr20] Ep  83/100 [307s] Loss=0.2066/1.1481 | Train_ADE=0.537m | Val_ADE=0.768m FDE=1.182m (best=0.767) | S1=0.278m S5=0.594m S10=0.715m S15=0.945m S20=1.182m | L_cls=0.198 L_reg=0.0009 | Acc=90.85%/67.06%
[gpt2_soft_snr20] Ep  84/100 [307s] Loss=0.2066/1.1428 | Train_ADE=0.536m | Val_ADE=0.768m FDE=1.168m (best=0.767) | S1=0.288m S5=0.591m S10=0.725m S15=0.941m S20=1.168m | L_cls=0.198 L_reg=0.0009 | Acc=90.87%/66.58%
[gpt2_soft_snr20] Ep  85/100 [312s] Loss=0.2058/1.1341 | Train_ADE=0.535m | Val_ADE=0.757m FDE=1.171m (best=0.757) | S1=0.281m S5=0.585m S10=0.710m S15=0.923m S20=1.171m | L_cls=0.197 L_reg=0.0009 | Acc=90.88%/67.16%
[gpt2_soft_snr20] Ep  86/100 [308s] Loss=0.2057/1.1549 | Train_ADE=0.534m | Val_ADE=0.773m FDE=1.196m (best=0.757) | S1=0.280m S5=0.591m S10=0.733m S15=0.944m S20=1.196m | L_cls=0.197 L_reg=0.0009 | Acc=90.89%/66.25%
[gpt2_soft_snr20] Ep  87/100 [308s] Loss=0.2053/1.1289 | Train_ADE=0.532m | Val_ADE=0.775m FDE=1.176m (best=0.757) | S1=0.275m S5=0.608m S10=0.730m S15=0.944m S20=1.176m | L_cls=0.197 L_reg=0.0009 | Acc=90.90%/66.62%
[gpt2_soft_snr20] Ep  88/100 [308s] Loss=0.2052/1.1440 | Train_ADE=0.532m | Val_ADE=0.770m FDE=1.204m (best=0.757) | S1=0.283m S5=0.584m S10=0.726m S15=0.940m S20=1.204m | L_cls=0.197 L_reg=0.0009 | Acc=90.88%/66.60%
[gpt2_soft_snr20] Ep  89/100 [307s] Loss=0.2051/1.1356 | Train_ADE=0.528m | Val_ADE=0.762m FDE=1.186m (best=0.757) | S1=0.269m S5=0.579m S10=0.718m S15=0.941m S20=1.186m | L_cls=0.196 L_reg=0.0009 | Acc=90.91%/66.80%
