page,slot,idx,label,traj_idx,start_frame,turn_score,path_length_m,net_displacement_m,ours_ade,ours_fde,lstm_ade,tcn_ade,transformer_ade
5,1,10740,Straight,153,90,0.09271981567144394,8.86371898651123,8.86371898651123,0.3560560345649719,0.8016723394393921,0.6876857280731201,0.832159698009491,0.9180304408073425
5,2,8013,Straight,114,99,0.08680487424135208,7.346449375152588,7.346449375152588,0.0913836807012558,0.19718752801418304,0.30981001257896423,0.47604888677597046,0.8473137021064758
5,3,11997,Straight,171,81,0.10669779777526855,9.637508392333984,9.637508392333984,0.20786437392234802,0.18745005130767822,0.5369782447814941,0.7553316354751587,0.6691108345985413
5,4,1423,Turning,20,69,28.342933654785156,10.138655662536621,10.073430061340332,0.7446194887161255,0.9073148965835571,1.1435949802398682,1.1102912425994873,1.265950083732605
5,5,10290,Straight,147,0,0.14749109745025635,7.4938554763793945,7.493854999542236,0.21491213142871857,0.4062637984752655,0.2971990704536438,0.4758527874946594,0.9861858487129211
5,6,1219,Straight,17,87,0.12118121236562729,7.363532066345215,7.363532066345215,0.19634495675563812,0.39042991399765015,0.45881715416908264,0.5877087712287903,0.6405664682388306
6,1,6671,Straight,95,63,0.10030132532119751,6.7949628829956055,6.794963359832764,0.05330268293619156,0.042741239070892334,0.1609167605638504,0.18490855395793915,0.903218150138855
6,2,10990,Straight,157,0,0.14581769704818726,8.610030174255371,8.610029220581055,0.2710708677768707,0.34809213876724243,0.49760866165161133,0.42092689871788025,0.9723523855209351
6,3,13385,Straight,191,45,0.10507562756538391,9.299214363098145,9.299214363098145,0.07208067178726196,0.027949456125497818,0.37656089663505554,0.29716044664382935,0.5868278741836548
6,4,3233,Straight,46,39,0.13161775469779968,9.936958312988281,9.936957359313965,0.07985866069793701,0.08898215740919113,0.3192865550518036,0.449789822101593,0.5047355890274048
6,5,435,Straight,6,45,0.1392880380153656,6.741751670837402,6.741751194000244,0.17572453618049622,0.18206535279750824,0.25165924429893494,0.46500295400619507,0.8094204068183899
6,6,9457,Straight,135,21,0.13885091245174408,7.939828872680664,7.939828872680664,0.07790613174438477,0.17893965542316437,0.17871856689453125,0.38756170868873596,0.6607412099838257
7,1,7490,Straight,107,0,0.09720724821090698,11.836326599121094,11.836326599121094,0.127602681517601,0.2853100895881653,0.4269126057624817,0.4661984443664551,0.47247499227523804
7,2,9665,Straight,138,15,0.14012132585048676,6.561513423919678,6.5615129470825195,0.28461953997612,0.6354209184646606,0.42308348417282104,0.6525335311889648,0.7564569115638733
7,3,11765,Turning,168,15,22.736318588256836,2.5443508625030518,2.5384669303894043,0.1962612271308899,0.2513006031513214,0.40086275339126587,0.8052161931991577,0.32620954513549805
7,4,9323,Straight,133,39,0.09355992823839188,7.149789333343506,7.149789333343506,0.12971867620944977,0.0866672694683075,0.360360324382782,0.3531430959701538,0.5948876142501831
7,5,4872,Turning,69,126,20.833332061767578,10.013319969177246,9.96878719329834,0.5211578011512756,0.5519993305206299,0.740838885307312,0.616814374923706,1.0684399604797363
7,6,13090,Straight,187,0,0.11512966454029083,10.226811408996582,10.226810455322266,0.12969693541526794,0.2984107732772827,0.4618911147117615,0.3918550908565521,0.35345423221588135
8,1,5754,Turning,82,42,22.74529457092285,7.950628280639648,7.8751115798950195,0.6914801597595215,1.807228922843933,0.8109406232833862,0.6984434723854065,1.2995880842208862
8,2,11514,Straight,164,102,0.13068200647830963,8.929158210754395,8.929158210754395,0.20092126727104187,0.3045651316642761,0.3736277222633362,0.3071610629558563,0.6472097635269165
8,3,7804,Turning,111,102,55.065147399902344,2.28609561920166,2.2537901401519775,0.5361753702163696,0.6902150511741638,0.7526219487190247,0.8904060125350952,0.6090859174728394
8,4,6026,Turning,86,18,20.896087646484375,5.01209831237793,5.003381252288818,0.30682915449142456,0.478193998336792,0.3597714900970459,0.5601574182510376,0.6104166507720947
8,5,2398,Straight,34,54,0.1355041116476059,4.455102443695068,4.45510196685791,0.19616910815238953,0.22479794919490814,0.3240415155887604,0.42778974771499634,0.42824608087539673
8,6,3822,Turning,54,126,22.47773551940918,6.281778335571289,6.277823448181152,0.18534138798713684,0.23796743154525757,0.306000292301178,0.3518924117088318,0.3154012858867645
