split,episode_index,snr_db,outputs,expected_outputs,detected_true,exists_true,detected_equals_exists,detected_without_exists,exists_without_detected,zero_state_on_absent
train,57,15,533,533,533,533,True,0,0,True
train,57,20,533,533,533,533,True,0,0,True
train,58,5,1538,1538,1538,1538,True,0,0,True
train,58,10,1538,1538,1538,1538,True,0,0,True
train,58,15,1538,1538,1538,1538,True,0,0,True
train,58,20,1538,1538,1538,1538,True,0,0,True
train,59,5,1406,1406,1406,1406,True,0,0,True
train,59,10,1406,1406,1406,1406,True,0,0,True
train,59,15,1406,1406,1406,1406,True,0,0,True
train,59,20,1406,1406,1406,1406,True,0,0,True
train,60,5,872,872,872,872,True,0,0,True
train,60,10,872,872,872,872,True,0,0,True
train,60,15,872,872,872,872,True,0,0,True
train,60,20,872,872,872,872,True,0,0,True
train,61,5,519,519,519,519,True,0,0,True
train,61,10,519,519,519,519,True,0,0,True
train,61,15,519,519,519,519,True,0,0,True
train,61,20,519,519,519,519,True,0,0,True
train,62,5,1592,1592,1592,1592,True,0,0,True
train,62,10,1592,1592,1592,1592,True,0,0,True
train,62,15,1592,1592,1592,1592,True,0,0,True
train,62,20,1592,1592,1592,1592,True,0,0,True
train,63,5,1592,1592,1592,1592,True,0,0,True
train,63,10,1592,1592,1592,1592,True,0,0,True
train,63,15,1592,1592,1592,1592,True,0,0,True
train,63,20,1592,1592,1592,1592,True,0,0,True
train,64,5,737,737,737,737,True,0,0,True
train,64,10,737,737,737,737,True,0,0,True
train,64,15,737,737,737,737,True,0,0,True
train,64,20,737,737,737,737,True,0,0,True
train,65,5,1273,1273,1273,1273,True,0,0,True
train,65,10,1273,1273,1273,1273,True,0,0,True
train,65,15,1273,1273,1273,1273,True,0,0,True
train,65,20,1273,1273,1273,1273,True,0,0,True
train,66,5,1194,1194,1194,1194,True,0,0,True
train,66,10,1194,1194,1194,1194,True,0,0,True
train,66,15,1194,1194,1194,1194,True,0,0,True
train,66,20,1194,1194,1194,1194,True,0,0,True
train,67,5,815,815,815,815,True,0,0,True
train,67,10,815,815,815,815,True,0,0,True
train,67,15,815,815,815,815,True,0,0,True
train,67,20,815,815,815,815,True,0,0,True
train,68,5,1055,1055,1055,1055,True,0,0,True
train,68,10,1055,1055,1055,1055,True,0,0,True
train,68,15,1055,1055,1055,1055,True,0,0,True
train,68,20,1055,1055,1055,1055,True,0,0,True
train,69,5,1427,1427,1427,1427,True,0,0,True
train,69,10,1427,1427,1427,1427,True,0,0,True
train,69,15,1427,1427,1427,1427,True,0,0,True
train,69,20,1427,1427,1427,1427,True,0,0,True
train,70,5,1395,1395,1395,1395,True,0,0,True
train,70,10,1395,1395,1395,1395,True,0,0,True
train,70,15,1395,1395,1395,1395,True,0,0,True
train,70,20,1395,1395,1395,1395,True,0,0,True
train,71,5,1457,1457,1457,1457,True,0,0,True
train,71,10,1457,1457,1457,1457,True,0,0,True
train,71,15,1457,1457,1457,1457,True,0,0,True
train,71,20,1457,1457,1457,1457,True,0,0,True
train,72,5,1240,1240,1240,1240,True,0,0,True
train,72,10,1240,1240,1240,1240,True,0,0,True
train,72,15,1240,1240,1240,1240,True,0,0,True
train,72,20,1240,1240,1240,1240,True,0,0,True
train,73,5,1178,1178,1178,1178,True,0,0,True
train,73,10,1178,1178,1178,1178,True,0,0,True
train,73,15,1178,1178,1178,1178,True,0,0,True
train,73,20,1178,1178,1178,1178,True,0,0,True
train,74,5,1381,1381,1381,1381,True,0,0,True
train,74,10,1381,1381,1381,1381,True,0,0,True
train,74,15,1381,1381,1381,1381,True,0,0,True
