split,scope,subset,snr_db,position_n,position_mae,position_rmse,position_median,position_p90,position_p95,position_p99,velocity_n,velocity_mae,velocity_rmse,velocity_median,velocity_p90,velocity_p95,velocity_p99,vx_rmse,vy_rmse
val,overall,n_bs_3,-10.0,2541,0.7998397669046836,0.9154196759101955,0.735030081893497,1.402042423177678,1.6042964282158565,2.0314770722021063,2541,1.1372379516788313,1.3086600344090296,1.0511499553221881,1.9754210372972696,2.300010369377893,3.1390189369645003,0.6548623044817365,0.6396472037087291
val,overall,n_bs_3,-5.0,2541,0.44946314214665745,0.5139002130742054,0.414260764976879,0.7857484062844163,0.9006824305667859,1.1309490534956916,2541,0.6389762973622136,0.7354997670376877,0.5895469233719082,1.1134865834371401,1.285409459198239,1.7699436625876077,0.36754333753774554,0.3591731115065944
val,overall,n_bs_3,0.0,2541,0.2525978968711728,0.28889586459508837,0.2325275479768498,0.4418871972354376,0.5067765614087454,0.6349296203046567,2541,0.35922116835860546,0.41351264566075946,0.33035738608696724,0.6275697596268645,0.7236295177164622,0.993634255390519,0.20670330172135304,0.201828059589431
val,overall,n_bs_3,5.0,2541,0.14203514101983744,0.162469131323607,0.13073731761808274,0.24887061575463446,0.2849974443409725,0.3567389839828606,2541,0.20199657965716258,0.23253501351145317,0.1857947865938558,0.35220324275490783,0.4070105798313258,0.5582999084850869,0.11627485971408844,0.11347411877391475
val,overall,n_bs_3,10.0,2541,0.07988740455924458,0.09138632639593704,0.07357054233060782,0.14014027135302023,0.1603994205483261,0.20053270259046846,2541,0.11360835623439493,0.13078799864163804,0.10439149699363925,0.19816687890923734,0.22864549090496517,0.3167746946779359,0.06541321918107387,0.0638167016423877
val,scene_0,n_bs_2,-10.0,1039,1.471489401834863,1.7005024171784895,1.3297485276344692,2.5878438471710568,2.970632822175911,3.947486836408453,1039,1.5904096633147535,1.8998720027231697,1.367666123588588,2.9720693947552843,3.564185286442466,4.84303360615522,1.0659600414548627,1.3249293040956687
val,scene_0,n_bs_2,-5.0,1039,0.8274949856116472,0.9563225110067908,0.7492534564349651,1.455824188260269,1.6756014986506589,2.2201027076229196,1039,0.8946217656853791,1.0688779528564942,0.7703622396283142,1.6758689714850117,2.007061647828995,2.7153374315913936,0.5992228204386432,0.7453084975524507
val,scene_0,n_bs_2,0.0,1039,0.46541245172968754,0.537889936268023,0.4221751265677658,0.8188073535710269,0.941933867620375,1.2485095981544378,1039,0.5032044351960514,0.6012886345449516,0.4331201299357751,0.9441894971118933,1.1292922227813276,1.524420388987561,0.33696252642299507,0.4192634485917537
val,scene_0,n_bs_2,5.0,1039,0.2617723619607817,0.3025455691380334,0.23734300483064644,0.4603531403197337,0.529559428628812,0.7021510439102233,1039,0.2830311463399532,0.3382232954820208,0.2437326846381615,0.5315553040655875,0.6352213464367364,0.8564930523781841,0.18950630387813477,0.23584143443318983
val,scene_0,n_bs_2,10.0,1039,0.14725127866904306,0.1701906381103521,0.1331951179652038,0.258769348090801,0.2977028318719754,0.3949666057275536,1039,0.15920615315439055,0.19025985562857037,0.13711249805020742,0.2991554836020951,0.35730990588390266,0.48148497847857924,0.1065922103157842,0.1326761244550219
val,scene_0,n_bs_3,-10.0,1425,0.8011963365291667,0.9136958529654632,0.7355778681595767,1.4081007785368092,1.5887363713067848,2.0000193601322067,1425,1.0796452747792884,1.2239103278705923,1.0153830762825273,1.8392537497676364,2.115285390252883,2.696147865962127,0.6617925729044263,0.6299767473286809
val,scene_0,n_bs_3,-5.0,1425,0.4502119355739216,0.5131221386085338,0.41502552706015633,0.789865765403373,0.8965785300408593,1.1156320975586613,1425,0.6063624185115846,0.6873734573963524,0.5712578364113399,1.0362818059392813,1.1892045753960754,1.5171912089201862,0.37143786756568387,0.35401728724520354
val,scene_0,n_bs_3,0.0,1425,0.25313270544175526,0.28851806257783313,0.23339753787077605,0.44484054037598064,0.5037915235481073,0.6248967054596889,1425,0.34082627488428824,0.3862997178602387,0.3210645639861291,0.583730036843879,0.6704276013156638,0.8556939380775271,0.2088770568327771,0.1990302679557641
val,scene_0,n_bs_3,5.0,1425,0.14238577139288042,0.16226961473631643,0.1317220044293358,0.2503147784993933,0.28355505823759675,0.35063034908043217,1425,0.1916314167288989,0.21717561944226763,0.18026465467832037,0.3281308490183455,0.3774402762178268,0.4809235559835656,0.11748145603391093,0.11193540706507846
val,scene_0,n_bs_3,10.0,1425,0.08009724880055719,0.0912766893382233,0.07394008958732809,0.1410863911855847,0.15955479187869814,0.19724585416340337,1425,0.10777212643236092,0.1221305185758266,0.10154170064810598,0.18445533421040392,0.21233227387753092,0.2704031908105936,0.06608290560781795,0.06296414537635488
val,scene_1,n_bs_2,-10.0,1199,1.6719443457131826,1.9789709945172982,1.4659290945121686,3.0551206753604143,3.758921966163711,5.140849656167332,1199,1.8820634409753947,2.328494226241605,1.5391614239685698,3.7121311048040786,4.638196372990241,6.6674091689296135,1.755424730210411,0.913679491783903
val,scene_1,n_bs_2,-5.0,1199,0.9394179730361598,1.1120243294494299,0.8215925997659183,1.7183143071172846,2.1099371766201145,2.8946177856044852,1199,1.0579570472200703,1.3087519117133535,0.8644788577315013,2.0874470264660205,2.6001585916679186,3.751180907964578,0.9861996436692141,0.5138174501845667
val,scene_1,n_bs_2,0.0,1199,0.5281539192309683,0.6251983260069697,0.46274571384834073,0.9686643599521669,1.1877797764322118,1.6289377453914295,1199,0.5948523202791596,0.7358218838279152,0.4857714807088054,1.1739183607918875,1.4597099712129178,2.1084414287129976,0.5543756696917671,0.2890338452425976
val,scene_1,n_bs_2,5.0,1199,0.29700267766794736,0.35157386730003615,0.2606447103141799,0.5455248775416437,0.6684347253338301,0.9164677024696627,1199,0.3345086761494628,0.4137685655111501,0.2730707735938869,0.6602078382998688,0.8200744383526523,1.185334942266442,0.31172066644270285,0.16258662392958592
val,scene_1,n_bs_2,10.0,1199,0.167053632136266,0.1977501007100626,0.14676664895068076,0.30707825417014867,0.37614352983241867,0.5156590400013656,1199,0.18813996225901064,0.23271479040235077,0.1535533823941716,0.37134818090796146,0.46100139382466515,0.6665688575594167,0.17532926215943298,0.09145901902747879
val,scene_1,n_bs_3,-10.0,1116,0.7981075879486906,0.9176160864826454,0.7339429564713751,1.3960860466466793,1.6242051044264607,2.077891129753943,1116,1.2107769880424955,1.4094871679357532,1.1118391619847574,2.104376006661834,2.493920720095228,3.534201529656111,0.6459050887075779,0.6517866971282719
val,scene_1,n_bs_3,-5.0,1116,0.4485070215070059,0.5148920129613062,0.4127775509575621,0.7807918734017454,0.9062136879179096,1.1351885410474891,1116,0.6806203630989036,0.7927154286000682,0.6230093636957603,1.18297677736007,1.3864369035011577,2.0004518184083016,0.3625096677016157,0.3656508250150819
val,scene_1,n_bs_3,0.0,1116,0.25191500958346674,0.28937755607635857,0.23123263740175506,0.43901089558234163,0.5101601223010347,0.6362112799169706,1116,0.3827092715852201,0.4458523749420188,0.35055505427292666,0.665129278278824,0.7779181156901979,1.1162617887611965,0.20389398812587542,0.20534510358625893
val,scene_1,n_bs_3,5.0,1116,0.14158742750587125,0.1627235348014669,0.1297703937544358,0.24702004838861027,0.2880575067497685,0.35711484291843804,1116,0.2152316667295423,0.2507834039375446,0.1970676930925156,0.37400130812904087,0.4375399487313478,0.6268248974193389,0.11471573186599629,0.11540905354751443
val,scene_1,n_bs_3,10.0,1116,0.079619458283375,0.0915261290400824,0.07298222924689787,0.13891333483749363,0.16185815381674382,0.20064014772302546,1116,0.12106053138484155,0.1410723504989029,0.11058166961663593,0.21082314363436422,0.24611429061205842,0.3523169765131865,0.06454800961652042,0.06488903413988684
