scene_id,frame,timestamp,vehicles,min_pair_m,mean_junction_m,max_junction_m,categories
1,87,8.70870870870871,1,inf,57.18132503428737,57.18132503428737,low_density
1,88,8.80880880880881,1,inf,55.353115259286234,55.353115259286234,low_density
1,89,8.90890890890891,1,inf,53.55913851853064,53.55913851853064,low_density
1,90,9.00900900900901,1,inf,51.80152790782844,51.80152790782844,low_density
1,150,15.015015015015015,4,26.52239381882774,69.00256274946403,101.59674366055873,median_density
1,151,15.115115115115115,4,26.533970345517474,69.81910208272043,103.77325964443492,median_density
1,152,15.215215215215215,4,26.541758672973895,70.6751020157333,105.95664315994378,median_density
1,153,15.315315315315315,4,26.545812031759223,71.5660593090451,108.14155044907882,median_density
1,154,15.415415415415415,4,26.549449872606626,72.48992046077247,110.3287350994775,median_density
1,242,24.224224224224226,4,30.20237362478287,50.43709243400917,68.74160364394136,median_density
1,1756,175.77577577577577,1,inf,113.23381998914127,113.23381998914127,far_target
1,2205,220.72072072072072,1,inf,2.2444751063628057,2.2444751063628057,junction_center
1,2206,220.82082082082084,1,inf,1.442196070840373,1.442196070840373,junction_center
1,2207,220.92092092092093,1,inf,0.652386575981308,0.652386575981308,junction_center
1,2208,221.02102102102103,1,inf,0.39026666653966596,0.39026666653966596,junction_center
1,2209,221.12112112112112,1,inf,1.1498516019852063,1.1498516019852063,junction_center
1,2210,221.22122122122124,1,inf,2.00079636833179,2.00079636833179,junction_center
1,2534,253.65365365365366,5,25.135204116207237,62.98442868505085,113.19991018246009,far_target
1,2548,255.05505505505508,6,2.813789557089511,48.33325844863389,78.51825170241912,closest_pair
1,2560,256.2562562562563,7,2.9164806039761353,37.47692137008412,53.192050725846435,closest_pair
1,2746,274.8748748748749,5,3.0442501981100363,57.82283975059952,88.490461813655,closest_pair
1,3990,399.39939939939944,3,3.0568702861909256,99.73506881492183,111.7693529726972,closest_pair
1,4566,457.0570570570571,8,3.082858936802818,51.38876395914787,112.03502280735604,closest_pair
1,5480,548.5485485485485,10,6.591814313785393,56.23695561802599,110.99768264859016,high_density
1,5488,549.3493493493494,10,7.258956787594549,54.05901463436696,101.7732039228621,high_density
1,5489,549.4494494494495,10,7.4899693993609855,53.9141894786066,100.23225709327276,high_density
1,5490,549.5495495495496,10,9.306776856479635,53.80491403734776,98.68332552493902,high_density
1,5491,549.6496496496496,10,11.976244370020177,53.732449417211214,97.14065928636533,high_density
1,5492,549.7497497497498,10,10.803336804133156,53.69624884527609,95.61369065399408,high_density
1,5729,573.4734734734735,8,11.578205631196267,63.75145532007645,113.35749290107155,far_target
1,5987,599.2992992992994,4,2.928382308461791,26.570578650559696,46.16713527016721,closest_pair
1,6402,640.8408408408409,4,18.229284068816302,77.11624307675709,113.28596226208235,far_target
1,7454,746.1461461461462,5,6.60355719776735,89.57413086219563,113.1883374258398,far_target
1,8402,841.0410410410411,3,26.417944801563234,83.131648563354,113.27705171857458,far_target
