split,scene_id,frame,station_id,target_snr_db,timestamp,detections,visible_targets,unmatched_detections,unmatched_targets,unmatched_targets_crowded,unmatched_targets_isolated,rd_local_maxima,nms_suppressed,roi_rejected,fov_rejected,ghost_detections
train,0,308,2,5.0,30.83083083083083,2,4,0,2,2,0,2,0,0,0,0
train,0,308,2,10.0,30.83083083083083,2,4,0,2,2,0,2,0,0,0,0
train,0,308,2,15.0,30.83083083083083,2,4,0,2,2,0,2,0,0,0,0
train,0,309,1,-10.0,30.93093093093093,1,6,0,5,0,5,1,0,0,0,0
train,0,309,1,-5.0,30.93093093093093,1,6,0,5,0,5,1,0,0,0,0
train,0,309,1,0.0,30.93093093093093,1,6,0,5,0,5,1,0,0,0,0
train,0,309,1,5.0,30.93093093093093,2,6,0,4,0,4,2,0,0,0,0
train,0,309,1,10.0,30.93093093093093,2,6,0,4,0,4,2,0,0,0,0
train,0,309,1,15.0,30.93093093093093,2,6,0,4,0,4,2,0,0,0,0
train,0,309,2,-10.0,30.93093093093093,2,4,0,2,2,0,2,0,0,0,0
train,0,309,2,-5.0,30.93093093093093,2,4,0,2,2,0,2,0,0,0,0
train,0,309,2,0.0,30.93093093093093,2,4,0,2,2,0,2,0,0,0,0
train,0,309,2,5.0,30.93093093093093,2,4,0,2,2,0,2,0,0,0,0
train,0,309,2,10.0,30.93093093093093,2,4,0,2,2,0,2,0,0,0,0
train,0,309,2,15.0,30.93093093093093,2,4,0,2,2,0,2,0,0,0,0
train,0,310,1,-10.0,31.03103103103103,1,6,0,5,0,5,1,0,0,0,0
train,0,310,1,-5.0,31.03103103103103,1,6,0,5,0,5,1,0,0,0,0
train,0,310,1,0.0,31.03103103103103,1,6,0,5,0,5,1,0,0,0,0
train,0,310,1,5.0,31.03103103103103,2,6,0,4,0,4,2,0,0,0,0
train,0,310,1,10.0,31.03103103103103,2,6,0,4,0,4,2,0,0,0,0
train,0,310,1,15.0,31.03103103103103,2,6,0,4,0,4,2,0,0,0,0
train,0,310,2,-10.0,31.03103103103103,2,4,0,2,2,0,2,0,0,0,0
train,0,310,2,-5.0,31.03103103103103,2,4,0,2,2,0,2,0,0,0,0
train,0,310,2,0.0,31.03103103103103,2,4,0,2,2,0,2,0,0,0,0
train,0,310,2,5.0,31.03103103103103,2,4,0,2,2,0,2,0,0,0,0
train,0,310,2,10.0,31.03103103103103,2,4,0,2,2,0,2,0,0,0,0
train,0,310,2,15.0,31.03103103103103,2,4,0,2,2,0,2,0,0,0,0
train,0,311,1,-10.0,31.13113113113113,1,6,0,5,0,5,1,0,0,0,0
train,0,311,1,-5.0,31.13113113113113,1,6,0,5,0,5,1,0,0,0,0
train,0,311,1,0.0,31.13113113113113,2,6,0,4,0,4,2,0,0,0,0
train,0,311,1,5.0,31.13113113113113,2,6,0,4,0,4,2,0,0,0,0
train,0,311,1,10.0,31.13113113113113,2,6,0,4,0,4,2,0,0,0,0
train,0,311,1,15.0,31.13113113113113,4,6,0,2,0,2,4,0,0,0,0
train,0,311,2,-10.0,31.13113113113113,3,4,0,1,1,0,3,0,0,0,0
train,0,311,2,-5.0,31.13113113113113,3,4,0,1,1,0,3,0,0,0,0
train,0,311,2,0.0,31.13113113113113,3,4,0,1,1,0,3,0,0,0,0
train,0,311,2,5.0,31.13113113113113,3,4,0,1,1,0,3,0,0,0,0
train,0,311,2,10.0,31.13113113113113,3,4,0,1,1,0,3,0,0,0,0
train,0,311,2,15.0,31.13113113113113,3,4,0,1,1,0,3,0,0,0,0
train,0,312,1,-10.0,31.23123123123123,1,6,0,5,0,5,1,0,0,0,0
train,0,312,1,-5.0,31.23123123123123,1,6,0,5,0,5,1,0,0,0,0
train,0,312,1,0.0,31.23123123123123,2,6,0,4,0,4,2,0,0,0,0
train,0,312,1,5.0,31.23123123123123,2,6,0,4,0,4,2,0,0,0,0
train,0,312,1,10.0,31.23123123123123,2,6,0,4,0,4,2,0,0,0,0
train,0,312,1,15.0,31.23123123123123,5,6,0,1,0,1,5,0,0,0,0
train,0,312,2,-10.0,31.23123123123123,3,4,0,1,1,0,3,0,0,0,0
train,0,312,2,-5.0,31.23123123123123,3,4,0,1,1,0,3,0,0,0,0
train,0,312,2,0.0,31.23123123123123,3,4,0,1,1,0,3,0,0,0,0
train,0,312,2,5.0,31.23123123123123,3,4,0,1,1,0,3,0,0,0,0
train,0,312,2,10.0,31.23123123123123,3,4,0,1,1,0,3,0,0,0,0
train,0,312,2,15.0,31.23123123123123,3,4,0,1,1,0,3,0,0,0,0
