range_error_m,radial_velocity_error_mps,bearing_error_rad,bearing_error_deg,position_error_m,angle_rank,crowded,split,scene_id,frame,station_id,target_snr_db,timestamp,vehicle_id,range_gt_m,radial_velocity_gt_mps,bearing_gt_deg
1.9733955127776426e-05,-0.0009334893319525861,4.827245127625446e-05,0.0027658077248802846,0.003415825496223489,0,False,train,0,145,1,-5.0,14.514514514514515,6,70.93662110624042,-21.790199761030795,41.83431075971303
0.000666739151554907,-0.0012643235615392712,9.999666955273767e-05,0.00572938713073621,0.007107315994299149,0,False,train,0,145,1,0.0,14.514514514514515,6,70.93662110624042,-21.790199761030795,41.83431075971303
0.0010318371274991023,-0.0014459654396290489,0.00012915254224665773,0.007399895584118551,0.009197279672018752,0,False,train,0,145,1,5.0,14.514514514514515,6,70.93662110624042,-21.790199761030795,41.83431075971303
0.0012375425275763519,-0.0015467134074889088,0.00014556998482451178,0.008340545754227966,0.010375092498057464,0,False,train,0,145,1,10.0,14.514514514514515,6,70.93662110624042,-21.790199761030795,41.83431075971303
0.001353343811558716,-0.00160292550137342,0.00015480911450982404,0.008869908891570391,0.011038122866101181,0,False,train,0,145,1,15.0,14.514514514514515,6,70.93662110624042,-21.790199761030795,41.83431075971303
0.006846831820091381,0.0027006040547359333,0.0006090072428954763,0.034893544710809375,0.03790367019707414,0,False,train,0,145,2,-10.0,14.514514514514515,6,61.408185462471366,-9.401597794370943,-53.67505410526349
0.005013675872625356,0.0019889718543630863,0.0004320726308151279,0.024755938188820988,0.02691996036697576,0,False,train,0,145,2,-5.0,14.514514514514515,6,61.408185462471366,-9.401597794370943,-53.67505410526349
0.003969780191440009,0.0016011452414641525,0.0003324379652047682,0.01904729235615013,0.02073346595885585,0,False,train,0,145,2,0.0,14.514514514514515,6,61.408185462471366,-9.401597794370943,-53.67505410526349
0.0033786282015384472,0.0013869651009983386,0.00027636595240077,0.015834602673677523,0.01725157987665659,0,False,train,0,145,2,5.0,14.514514514514515,6,61.408185462471366,-9.401597794370943,-53.67505410526349
0.0030448935381173214,0.001267760344076052,0.00024482064400022097,0.014027189638887482,0.015292708308632894,0,False,train,0,145,2,10.0,14.514514514514515,6,61.408185462471366,-9.401597794370943,-53.67505410526349
0.0028568078167694466,0.001201118113284494,0.0002270770819405854,0.013010558419341909,0.014190906140251244,0,False,train,0,145,2,15.0,14.514514514514515,6,61.408185462471366,-9.401597794370943,-53.67505410526349
-0.005279893712824446,0.0002878768370777607,0.00034888957837519996,0.01998990035699771,0.025993888028912455,0,False,train,0,146,1,-10.0,14.614614614614615,6,73.11791196483733,-21.805852913886184,41.68195263885526
-0.003868479735302799,-0.000686511101097409,0.0002736269066838659,0.015677666914205534,0.020332821933256126,0,False,train,0,146,1,-5.0,14.614614614614615,6,73.11791196483733,-21.805852913886184,41.68195263885526
-0.00308042558590671,-0.0012224625570098624,0.00023107190621995954,0.013239444990446438,0.017136057972583607,0,False,train,0,146,1,0.0,14.614614614614615,6,73.11791196483733,-21.805852913886184,41.68195263885526
-0.0026390775746136796,-0.0015200149411427333,0.00020706774162526642,0.011864107668433163,0.015334529029686747,0,False,train,0,146,1,5.0,14.614614614614615,6,73.11791196483733,-21.805852913886184,41.68195263885526
-0.002391465114456537,-0.0016861201477098575,0.0001935458098900611,0.011089358049141889,0.014320354790320828,0,False,train,0,146,1,10.0,14.614614614614615,6,73.11791196483733,-21.805852913886184,41.68195263885526
-0.0022524052274803807,-0.0017791404971205793,0.00018593445500592054,0.01065325953790435,0.01374972683902792,0,False,train,0,146,1,15.0,14.614614614614615,6,73.11791196483733,-21.805852913886184,41.68195263885526
