page,slot,idx,traj_idx,start_frame,turn_score,path_length,max_step,net_disp,ours_ade,ours_fde,advantage_avg_baseline_minus_ours,lstm_ade,tcn_ade,transformer_ade
2,3,2169,30,207,0.023953471332788467,9.450733184814453,0.4725674092769623,9.450732231140137,0.5679989457130432,1.1457290649414062,1.9618566632270813,2.9087116718292236,0.7733992338180542,3.9074559211730957
2,4,7279,103,207,6.910921573638916,10.31224250793457,0.5749919414520264,10.305254936218262,0.43635550141334534,0.7153195142745972,0.6130014558633168,0.7196813821792603,0.721657931804657,1.7067315578460693
2,5,1365,19,105,3.0279183387756348,6.506207466125488,0.34793365001678467,6.505573749542236,0.4885977804660797,1.0528244972229004,2.2569340566794076,1.5048842430114746,1.4270581007003784,5.304653167724609
2,6,6043,86,69,44.227027893066406,1.668054223060608,0.10967075824737549,1.6529083251953125,0.5178900957107544,0.7367601990699768,-0.22513775030771893,0.18877726793289185,0.30808788537979126,0.38139188289642334
2,7,3638,51,204,8.408105850219727,11.916170120239258,0.6432746052742004,11.914324760437012,0.4712119698524475,1.285284399986267,1.4283318718274434,2.04056978225708,1.1903345584869385,2.4677271842956543
2,8,9870,141,0,15.425325393676758,8.423623085021973,0.4530077278614044,8.392335891723633,0.2743685841560364,0.7522286772727966,1.0014132261276245,0.7026623487472534,0.8092800974845886,2.3154029846191406
2,9,1060,15,30,15.605772018432617,1.719395637512207,0.20471693575382233,1.7130370140075684,0.9730688333511353,2.276869773864746,0.6420486370722454,1.3164597749710083,0.6513789892196655,2.8775136470794678
3,1,146,2,18,99.20458984375,5.325243949890137,0.3029341399669647,4.467024326324463,0.38911905884742737,1.1052337884902954,0.6821033755938213,0.31489405035972595,0.6088464856147766,2.289926767349243
3,2,9261,132,63,31.68552589416504,13.600183486938477,0.8606626987457275,13.55859088897705,1.0744692087173462,2.961677074432373,0.5689581632614136,1.3605505228042603,1.4349147081375122,2.134816884994507
3,3,3527,50,81,20.758190155029297,11.440142631530762,0.6452822685241699,11.403072357177734,0.42856937646865845,0.13518960773944855,1.0327285130818684,0.832304835319519,0.6734357476234436,2.878153085708618
3,4,8540,122,0,27.469331741333008,4.29897403717041,0.2551814317703247,4.237529277801514,0.9168119430541992,0.8654493689537048,0.6800704797108967,0.767706036567688,0.7856918573379517,3.2372493743896484
3,5,8606,122,198,6.573339462280273,15.91667652130127,0.8319685459136963,15.913688659667969,1.1028846502304077,1.9658160209655762,0.06271262963612867,0.8876117467880249,0.9312576055526733,1.6779224872589111
3,6,8523,121,159,0.7648581862449646,1.5726875066757202,0.10335185378789902,1.5726866722106934,0.23245489597320557,0.2906496822834015,0.9272543589274089,0.26314741373062134,0.3819475769996643,2.8340327739715576
3,7,2804,40,12,17.44045066833496,14.20091438293457,0.8360692858695984,14.189669609069824,0.9358105659484863,0.9012504816055298,0.6247325738271077,0.9455793499946594,0.8383280634880066,2.897722005844116
3,8,12472,178,36,16.59551429748535,6.348151683807373,0.37043172121047974,6.311049461364746,1.171424150466919,1.3648697137832642,0.4200103282928467,1.1713252067565918,1.384732723236084,2.218245506286621
3,9,10586,151,48,76.17196655273438,1.8333723545074463,0.12178574502468109,1.8203049898147583,0.8545663952827454,1.9606616497039795,-0.2680594325065613,0.5111857652664185,0.6164270639419556,0.6319080591201782
4,1,6370,91,0,23.894878387451172,10.10933780670166,0.5580031275749207,10.028014183044434,1.0711458921432495,2.7427115440368652,0.7162471214930217,1.2928205728530884,1.2395251989364624,2.8298332691192627
4,2,10597,151,81,17.463041305541992,5.022558212280273,0.2990454435348511,4.999222278594971,1.1800121068954468,2.3452839851379395,0.6048083702723186,1.9286460876464844,1.8655105829238892,1.5603047609329224
4,3,7197,102,171,22.70046043395996,4.102138996124268,0.295566588640213,4.0950117111206055,0.49116331338882446,0.6338297128677368,1.0915322403113048,1.954492211341858,0.41863545775413513,2.3749589920043945
4,4,8219,117,87,0.9012194871902466,1.5239827632904053,0.07624112069606781,1.523982048034668,0.754381537437439,1.1667832136154175,0.08780027429262793,0.772791862487793,0.22116509079933167,1.5325884819030762
4,5,5123,73,39,2.053168296813965,8.845606803894043,0.4642978012561798,8.845380783081055,0.3065192401409149,0.6902238726615906,0.6021340986092886,0.5471351742744446,0.7543705105781555,1.4244543313980103
4,6,8381,119,153,1.1095846891403198,1.530830979347229,0.07691918313503265,1.5308293104171753,0.26226183772087097,0.43945175409317017,1.3661409219106038,0.4961925446987152,0.6020463109016418,3.7869694232940674
4,7,5632,80,96,4.051586151123047,6.764562129974365,0.45437055826187134,6.76406717300415,0.4509868621826172,1.1794567108154297,1.0529584487279255,0.9278353452682495,0.747006893157959,2.83699369430542
4,8,10715,153,15,0.2710970342159271,2.7845795154571533,0.15277375280857086,2.784579038619995,0.27741479873657227,0.42219963669776917,0.5072040955225626,0.6830185651779175,0.5013257265090942,1.169512391090393
4,9,4031,57,123,93.34758758544922,5.776904582977295,0.36914584040641785,4.556013107299805,0.676101565361023,2.5971009731292725,0.4958033164342244,1.039247751235962,0.8478178977966309,1.6286489963531494
